time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,848,848,848,848,,,,
2007-10-01,1705,1705,1705,1705,,,,
2007-10-02,1333,1333,1333,1333,,,,
2007-10-03,803,803,803,803,,,,
2007-10-04,1253,1253,1253,1253,,,,
2007-10-05,1714,1714,1714,1714,,,,
2007-10-08,891,891,891,891,,,,
2007-10-09,1365,1365,1365,1365,,,,
2007-10-10,1056,1056,1056,1056,,,,
2007-10-11,631,631,631,631,,,,
2007-10-12,1402,1402,1402,1402,,,,
2007-10-15,656,656,656,656,,,,
2007-10-16,793,793,793,793,,,,
2007-10-17,1175,1175,1175,1175,,,,
2007-10-18,1060,1060,1060,1060,,,,
2007-10-19,310,310,310,310,,,,
2007-10-22,1409,1409,1409,1409,,,,
2007-10-23,1399,1399,1399,1399,,,,
2007-10-24,769,769,769,769,,,,
2007-10-25,944,944,944,944,,1075.8,,
2007-10-26,1577,1577,1577,1577,,1123.5333333333333,,
2007-10-29,1183,1183,1183,1183,,1129.1968253968253,,
2007-10-30,795,795,795,795,,1097.3685563114134,,
2007-10-31,1575,1575,1575,1575,,1142.8572652341359,,
2007-11-01,365,365,365,365,,1068.7756209261229,,
2007-11-02,1184,1184,1184,1184,,1079.7493713141112,,
2007-11-05,703,703,703,703,,1043.8684788080054,,
2007-11-06,1390,1390,1390,1390,,1076.8333855881954,,
2007-11-07,357,357,357,357,,1008.2778250559863,,
2007-11-08,1126,1126,1126,1126,,1019.4894607649401,,
2007-11-09,740,740,740,740,,992.8714168825649,,
2007-11-12,940,940,940,940,,987.8360438461301,,
2007-11-13,1709,1709,1709,1709,,1056.518325384594,,
2007-11-14,897,897,897,897,,1041.3261039193944,,
2007-11-15,555,555,555,555,,995.0093321175474,,
2007-11-16,1071,1071,1071,1071,,1002.2465385825428,,
2007-11-19,405,405,405,405,,945.365915860396,,
2007-11-20,954,954,954,954,,946.1882095879773,,
2007-11-21,636,636,636,636,,916.6464753415033,,
2007-11-23,1712,1712,1712,1712,,992.394430070884,,
2007-11-26,531,531,531,531,,948.4521033974665,,
2007-11-27,1386,1386,1386,1386,,990.1233316453269,,
2007-11-28,1889,1889,1889,1889,,1075.730633393391,,
2007-11-29,990,990,990,990,,1067.5658111654488,,
2007-11-30,1331,1331,1331,1331,,1092.6547815306442,,
2007-12-03,758,758,758,758,,1060.7828975753448,,
2007-12-04,768,768,768,768,,1032.8988120919787,,
2007-12-05,1592,1592,1592,1592,,1086.146544273695,,
2007-12-06,1726,1726,1726,1726,,1147.0849686285812,,
2007-12-07,1086,1086,1086,1086,,1141.2673525687164,1068.94,
2007-12-10,1313,1313,1313,1313,,1157.6228428002673,1078.5109803921569,
2007-12-11,413,413,413,413,,1086.7063815811944,1052.4125105728565,
2007-12-12,1209,1209,1209,1209,,1098.3533928591758,1058.5531964327445,
2007-12-13,919,919,919,919,,1081.272117348778,1053.0805220628329,
2007-12-14,543,543,543,543,,1030.008106172704,1033.0773643348787,
2007-12-17,460,460,460,460,,975.7216198705416,1010.6037422040991,
2007-12-18,1445,1445,1445,1445,,1020.4147989304901,1027.6388895686443,
2007-12-19,1117,1117,1117,1117,,1029.6133895085386,1031.1432468404623,
2007-12-20,1464,1464,1464,1464,,1070.9835428886777,1048.1180214741696,
2007-12-21,1658,1658,1658,1658,,1126.889872137375,1072.0349618085158,
2007-12-24,1478,1478,1478,1478,,1160.3289319338155,1087.9551593846525,
2007-12-26,1261,1261,1261,1261,,1169.9166527020236,1094.7412315656466,
2007-12-27,466,466,466,466,,1102.8769714923071,1070.0847126807193,
2007-12-28,990,990,990,990,,1092.126783731135,1066.944135712848,
2007-12-31,1024,1024,1024,1024,,1085.6385186138841,1065.260051959403,
2008-01-02,702,702,702,702,,1049.1015168411332,1051.0145597257008,
2008-01-03,810,810,810,810,,1026.3299438086442,1041.5630083639087,
2008-01-04,364,364,364,364,,963.2509015411542,1014.9919099966966,
2008-01-07,1130,1130,1130,1130,,979.1317680610443,1019.5020311732967,
2008-01-08,614,614,614,614,,944.3573139599926,1003.5999907351282,
2008-01-09,1240,1240,1240,1240,,972.5137602495171,1012.8705793337507,
2008-01-10,1407,1407,1407,1407,,1013.8934021305155,1028.3266350461527,
2008-01-11,593,593,593,593,,973.8083162133236,1011.2550022992447,
2008-01-14,1432,1432,1432,1432,,1017.4456194311023,1027.7548061306468,
2008-01-15,514,514,514,514,,969.4984175805212,1007.6075588314058,
2008-01-16,1227,1227,1227,1227,,994.0223778109478,1016.2111839752722,
2008-01-17,450,450,450,450,,942.2107227813337,994.0068238193792,
2008-01-18,803,803,803,803,,928.952558706921,986.5163601401879,
2008-01-23,1509,1509,1509,1509,,984.1951721634047,1007.0059146444943,
2008-01-24,1272,1272,1272,1272,,1011.6051557668899,1017.3978395603965,
2008-01-25,1007,1007,1007,1007,,1011.1665695033765,1016.9900811462633,
2008-01-28,1561,1561,1561,1561,,1063.5316581221025,1038.323803454253,
2008-01-29,1285,1285,1285,1285,,1084.6238811580927,1047.9973797893804,
2008-01-30,913,913,913,913,,1068.2787496192268,1042.7033648956792,
2008-01-31,1597,1597,1597,1597,,1118.6331544173956,1064.4404878409466,
2008-02-01,1623,1623,1623,1623,,1166.6680920919293,1086.3447824354193,
2008-02-04,912,912,912,912,,1142.4139880831742,1079.5077321438343,
2008-02-05,405,405,405,405,,1072.1840844562053,1053.0564485303507,
2008-02-06,794,794,794,794,,1045.6903621270428,1042.897372117396,
2008-02-07,1392,1392,1392,1392,,1078.6722324006578,1056.587671250047,
2008-02-08,934,934,934,934,,1064.8939245529762,1051.7803115931824,
2008-02-11,1191,1191,1191,1191,,1076.9040269765023,1057.2399072169792,
2008-02-12,1386,1386,1386,1386,,1106.341738693026,1070.1324598751369,
2008-02-13,1680,1680,1680,1680,,1160.9758588174996,1094.0488339976805,
2008-02-14,500,500,500,500,,1098.0257770253568,1070.752801291889,
2008-02-15,788,788,788,788,,1068.4995125467515,1059.6644561431874,
2008-02-19,1086,1086,1086,1086,,1070.166225637537,1060.6972225689447,
2008-02-20,1352,1352,1352,1352,,1097.0075374815813,1072.1208608995744,
2008-02-21,585,585,585,585,,1048.244914864288,1053.0180820407675,
2008-02-22,1070,1070,1070,1070,,1050.3168277343557,1053.6840396077962,1053.35
2008-02-25,1592,1592,1592,1592,,1101.9057012834646,1074.7944694270982,1064.0163366336633
2008-02-26,1508,1508,1508,1508,,1140.5813487802775,1091.7829216064276,1072.8080923438877
2008-02-27,1036,1036,1036,1036,,1130.621220325013,1089.5953560532344,1072.0792192281672
2008-02-28,634,634,634,634,,1083.3239612464404,1071.728871502127,1063.4043832038471
2008-02-29,410,410,410,410,,1019.1978696991604,1045.7787196785143,1050.4656825463453
2008-03-03,878,878,878,878,,1005.7504535373356,1039.1991620440629,1047.0505205157247
2008-03-04,873,873,873,873,,993.1075532004465,1032.6815478462565,1043.6039755550173
2008-03-05,1191,1191,1191,1191,,1011.9544528956421,1038.8901145973837,1046.5227087123437
2008-03-06,362,362,362,362,,950.0540288103429,1012.3454042210157,1032.967803589327
2008-03-07,888,888,888,888,,944.144121304596,1007.4691138594072,1030.0971540133007
2008-03-10,466,466,466,466,,898.6065859422534,986.2350309629599,1018.9269133397701
2008-03-11,1772,1772,1772,1772,,981.7869110906103,1017.0493434742164,1033.8392516894776
2008-03-12,926,926,926,926,,976.4738719391236,1013.4787809850314,1031.7038209629532
2008-03-13,1419,1419,1419,1419,,1018.6192174687309,1029.3815738875792,1039.3730522310134
2008-03-14,423,423,423,423,,961.8935777098042,1005.6019043233604,1027.167645256142
2008-03-17,546,546,546,546,,922.2846655469657,987.5783002322482,1017.6395730728519
2008-03-18,1833,1833,1833,1833,,1009.0194593043975,1020.7320923800032,1033.7853241011123
2008-03-19,584,584,584,584,,968.5414155611215,1003.6053436592188,1024.8786840199023
2008-03-20,1569,1569,1569,1569,,1025.7279474124432,1025.777683123563,1035.6533635442606
2008-03-24,1738,1738,1738,1738,,1093.5633809922106,1053.707970059894,1049.561217731503
2008-03-25,1399,1399,1399,1399,,1122.6525828024762,1067.248833979114,1056.4807975784038
2008-03-26,943,943,943,943,,1105.542813011764,1062.3763306858152,1054.2336530719008
2008-03-27,782,782,782,782,,1074.7292117725485,1051.3811804628422,1048.8428876645364
2008-03-28,686,686,686,686,,1037.7073820799249,1037.0525067192013,1041.657879988011
2008-03-31,1367,1367,1367,1367,,1069.0685837865988,1049.991624102762,1048.1002982060702
2008-04-01,1763,1763,1763,1763,,1135.157290092637,1077.9527368830459,1062.2567279445639
2008-04-02,1233,1233,1233,1233,,1144.4756434171477,1084.0330217111616,1065.6377828367508
2008-04-03,1064,1064,1064,1064,,1136.8112964250383,1083.2474130166063,1065.6053514934488
2008-04-04,1150,1150,1150,1150,,1138.0673634321774,1085.865161525759,1067.2765326519943
2008-04-07,1093,1093,1093,1093,,1133.775233581494,1086.1449591129842,1067.7859082430439
2008-04-08,937,937,937,937,,1115.0347351451612,1080.2961371869849,1065.196088277835
2008-04-09,519,519,519,519,,1058.2695222741936,1058.284523963966,1054.3803241535215
2008-04-10,1431,1431,1431,1431,,1093.7676630099847,1072.9008171418498,1061.838139516818
2008-04-11,394,394,394,394,,1027.1231236757005,1046.2772556853067,1048.6136219026237
2008-04-14,810,810,810,810,,1006.4447309446814,1037.0114809525496,1043.8885996867302
2008-04-15,1276,1276,1276,1276,,1032.1166613309022,1046.3835797387242,1048.4848650394683
2008-04-16,1775,1775,1775,1775,,1102.867455489864,1074.9567726901466,1062.8713033555184
2008-04-17,906,906,906,906,,1084.1181740146387,1068.3310168983762,1059.7649409128348
2008-04-18,1667,1667,1667,1667,,1139.6307288703874,1091.8082319219693,1071.7893975284223
2008-04-21,956,956,956,956,,1122.1420880255887,1086.4824189054216,1069.496538171424
2008-04-22,516,516,516,516,,1064.4142701183898,1064.1105593405032,1058.536210682881
2008-04-23,1226,1226,1226,1226,,1079.8033872499718,1070.459164856562,1061.8523253228238
2008-04-24,1470,1470,1470,1470,,1116.9649694166412,1086.1274329014027,1069.9344574946492
2008-04-25,1298,1298,1298,1298,,1134.2064009007706,1094.4361610229164,1074.4506068511907
2008-04-28,1249,1249,1249,1249,,1145.1391246245068,1100.4974880416255,1077.9070304778998
2008-04-29,933,933,933,933,,1124.9353984697918,1093.9289590988167,1075.0375843298225
2008-04-30,1056,1056,1056,1056,,1118.3701224250497,1092.4415489380788,1074.6606024619052
2008-05-01,1620,1620,1620,1620,,1166.1443964798068,1113.1301156463894,1085.4594024131545
2008-05-02,965,965,965,965,,1146.9877872912539,1107.3210915033937,1083.074067711904
2008-05-05,954,954,954,954,,1128.60799802542,1101.3084996797313,1080.518145578995
2008-05-06,1374,1374,1374,1374,,1151.978664880142,1112.0022840060165,1086.3296674487178
2008-05-07,583,583,583,583,,1097.790220605843,1091.2570963979374,1076.3627433408224
2008-05-08,1252,1252,1252,1252,,1112.4768662624292,1097.5607396764497,1079.8407088192218
2008-05-09,1027,1027,1027,1027,,1104.336212332674,1094.7936518460006,1078.7943581495342
2008-05-12,1610,1610,1610,1610,,1152.4946683009907,1114.9978223618436,1089.3132817505336
2008-05-13,1145,1145,1145,1145,,1151.780890367563,1116.1743783476536,1090.4159890426022
2008-05-14,1146,1146,1146,1146,,1151.230329380176,1117.3440105693142,1091.516662526907
2008-05-15,1422,1422,1422,1422,,1177.0179170582546,1129.2913042724783,1098.0608870313247
2008-05-16,924,924,924,924,,1152.920972576516,1121.2406648892438,1094.6141367930807
2008-05-19,936,936,936,936,,1132.2618323311335,1113.9763250896656,1091.473262797178
2008-05-20,833,833,833,833,,1103.760705442454,1102.9576456743846,1086.3549803655508
2008-05-21,686,686,686,686,,1063.9739715907917,1086.6063654518598,1078.4271589721736
2008-05-22,1348,1348,1348,1348,,1091.0240695345258,1096.8570962184535,1083.7652350321305
2008-05-23,612,612,612,612,,1045.4027295788567,1077.843092445181,1074.4233491899101
2008-05-27,1517,1517,1517,1517,,1090.3167553332512,1095.0649319571346,1083.1872432653574
2008-05-28,1168,1168,1168,1168,,1097.7151595872272,1097.9251307039137,1084.8667037947564
2008-05-29,1353,1353,1353,1353,,1122.0280015313008,1107.9280667547407,1090.1762740166423
2008-05-30,1187,1187,1187,1187,,1128.2158109092722,1111.0289268820059,1092.0935755212633
2008-06-02,641,641,641,641,,1081.8143051083891,1092.5964199454565,1083.1610294713373
2008-06-03,934,934,934,934,,1067.7367522409236,1086.376952496615,1080.2073457194297
2008-06-04,1283,1283,1283,1283,,1088.2380139322643,1094.087660241846,1084.2230418437973
2008-06-05,1750,1750,1750,1750,,1151.2629649863343,1119.8097127813814,1097.4067439855044
2008-06-06,373,373,373,373,,1077.1426826066834,1090.52305737819,1083.0620559857914
2008-06-09,696,696,696,696,,1040.843379501285,1075.0515649319866,1075.397460817756
2008-06-10,930,930,930,930,,1030.2868671678293,1069.3632682679872,1072.5183031778004
2008-06-11,437,437,437,437,,973.7833560089884,1044.564708728066,1059.9337823227945
2008-06-12,1226,1226,1226,1226,,997.8039887700372,1051.6798181897107,1063.2222222767987
2008-06-13,1683,1683,1683,1683,,1063.0607517443193,1076.4374723783494,1075.4950495584462
2008-06-16,1388,1388,1388,1388,,1094.0073468162889,1088.6556107164533,1081.683266398873
2008-06-17,757,757,757,757,,1061.9114090242613,1075.649508335416,1075.2538947870141
2008-06-18,605,605,605,605,,1018.3960367362364,1057.192664871282,1065.9419364743999
2008-06-19,1366,1366,1366,1366,,1051.50117609469,1069.3027564449571,1071.88368030659
2008-06-20,533,533,533,533,,1002.1201117047195,1048.2712758000569,1061.2127163401228
2008-06-23,590,590,590,590,,962.870577256651,1030.2998532196625,1051.8817714621007
2008-06-24,615,615,615,615,,929.7400460893509,1014.0135844659502,1043.2306472747323
2008-06-25,1505,1505,1505,1505,,984.5267083665556,1033.2679537025797,1052.3745948534504
2008-06-26,393,393,393,393,,928.1908313792645,1008.1594064985569,1039.317672183085
2008-06-27,841,841,841,841,,919.8869426764775,1001.6041356554763,1035.3905895655982
2008-06-30,742,742,742,742,,902.9453290882416,991.4235813160459,1029.580874920735
2008-07-01,1020,1020,1020,1020,,914.0933929845995,992.5442251860048,1029.3911546252748
2008-07-02,525,525,525,525,,877.0368793670186,974.2091575316517,1019.4032109693287
2008-07-03,837,837,837,837,,873.2238432368264,968.8284062559006,1015.7912661976588
2008-07-04,1041,1041,1041,1041,,889.2025248333191,971.6586648341006,1016.2904490452299
2008-07-07,738,738,738,738,,874.802284373003,962.4955799386456,1010.7797470839382
2008-07-08,1656,1656,1656,1656,,949.2020668136694,989.6918317057575,1023.5563857555434
2008-07-09,578,578,578,578,,913.8494890218914,973.5470539918063,1014.7334870277108
2008-07-10,1271,1271,1271,1271,,947.8638234007589,985.2118754038922,1019.8080714430037
2008-07-11,1020,1020,1020,1020,,954.7339354578295,986.5761155841318,1019.8118720084888
2008-07-14,667,667,667,667,,927.3307035094648,974.043718894558,1012.8254983053504
2008-07-15,912,912,912,912,1045.485,925.8706365085634,971.6106318790851,1010.8289537844523
2008-07-16,1825,1825,1825,1825,1053.2413681592038,1011.5020044601288,1005.0768816093171,1026.9511527194136
2008-07-17,1572,1572,1572,1572,1058.4031455904556,1064.8827659401165,1027.3091607618928,1037.7441992002173
2008-07-18,1017,1017,1017,1017,1057.9911739925406,1060.3225025172483,1026.904879947701,1037.3334229784307
2008-07-21,1240,1240,1240,1240,1059.802207087142,1077.4346451346532,1035.2615513223009,1041.3466225234122
2008-07-22,1583,1583,1583,1583,1065.0081552753297,1125.5837265504006,1056.7414904861323,1052.0724319783942
2008-07-23,1329,1329,1329,1329,1067.6349397999534,1144.956704974172,1067.4182947807938,1057.5561461966438
2008-07-24,620,620,620,620,1063.1808607969688,1094.960828309965,1049.872479299194,1048.891668054136
2008-07-25,1381,1381,1381,1381,1066.3432402915264,1122.2026541852065,1062.857872267853,1055.4680706669255
2008-07-28,522,522,522,522,1060.9268896418594,1065.0404966437582,1041.647759629898,1044.9043464953033
2008-07-29,1643,1643,1643,1643,1066.7186618842288,1120.0842588681621,1065.2302004287255,1056.747824782525
2008-07-30,1239,1239,1239,1239,1068.432904054535,1131.4095675473848,1072.044702372697,1060.3567787472275
2008-07-31,941,941,941,941,1067.1649149594648,1113.2753230190624,1066.9056944365127,1057.9932781779755
2008-08-01,1117,1117,1117,1117,1067.6607864524055,1113.630054160104,1068.8701770076298,1059.1617281150452
2008-08-04,692,692,692,692,1063.9228681792472,1073.4748109067607,1054.0909543798796,1051.8911988454404
2008-08-05,1597,1597,1597,1597,1069.2271182471154,1123.3343527251645,1075.3815051885117,1062.6854325316692
2008-08-06,1259,1259,1259,1259,1071.1154056277412,1136.2548905608633,1082.5822304752367,1066.57284970926
2008-08-07,683,683,683,683,1067.2535607956245,1093.0877581264954,1066.912339084051,1058.9773477348192
2008-08-08,1687,1687,1687,1687,1073.420192031489,1149.6508287811148,1091.2295022572255,1071.4134398588822
2008-08-11,1603,1603,1603,1603,1078.6896428570462,1192.8269403257705,1111.2989335412558,1081.9399063963301
2008-08-12,908,908,908,908,1076.9912384505085,1165.7005650566496,1103.3264263435594,1078.4955518142247
2008-08-13,1128,1128,1128,1128,1077.4987883166725,1162.1100350512543,1104.2940174673415,1079.4758379169132
2008-08-14,1364,1364,1364,1364,1080.3495466418797,1181.3376507606586,1114.4785658019555,1085.1099797403406
2008-08-15,1085,1085,1085,1085,1080.3958198096223,1172.1626364025005,1113.3225436136436,1085.1078019237002
2008-08-18,644,644,644,644,1076.0535728463424,1121.8614329355958,1094.917737981736,1076.3729939648151
2008-08-19,562,562,562,562,1070.9386119224982,1068.541296465539,1074.019003158923,1066.1873901239278
2008-08-20,1059,1059,1059,1059,1070.8198197640654,1067.632601564059,1073.4300226428868,1066.0450655670184
2008-08-21,796,796,796,796,1068.0852941942737,1041.7628299865296,1062.5504139117932,1060.6976385260873
2008-08-22,1624,1624,1624,1624,1073.6167838042809,1097.2139890354315,1084.5680447387817,1071.8521407334915
