time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,1357.65,1357.65,1357.65,1357.65,,,,
2007-10-01,447.53,447.53,447.53,447.53,,,,
2007-10-02,951,951,951,951,,,,
2007-10-03,1436.64,1436.64,1436.64,1436.64,,,,
2007-10-04,901.34,901.34,901.34,901.34,,,,
2007-10-05,346.19,346.19,346.19,346.19,,,,
2007-10-08,838.52,838.52,838.52,838.52,,,,
2007-10-09,720.42,720.42,720.42,720.42,,,,
2007-10-10,1124.88,1124.88,1124.88,1124.88,,,,
2007-10-11,2427.23,2427.23,2427.23,2427.23,,,,
2007-10-12,544.86,544.86,544.86,544.86,,,,
2007-10-15,1886.8,1886.8,1886.8,1886.8,,,,
2007-10-16,1837.39,1837.39,1837.39,1837.39,,,,
2007-10-17,836.85,836.85,836.85,836.85,,,,
2007-10-18,1185.92,1185.92,1185.92,1185.92,,,,
2007-10-19,3023.14,3023.14,3023.14,3023.14,,,,
2007-10-22,640.88,640.88,640.88,640.88,,,,
2007-10-23,1125.82,1125.82,1125.82,1125.82,,,,
2007-10-24,2643.61,2643.61,2643.61,2643.61,,,,
2007-10-25,1883.07,1883.07,1883.07,1883.07,,1307.987,,
2007-10-26,864.61,864.61,864.61,864.61,,1265.7606190476192,,
2007-10-29,1216.42,1216.42,1216.42,1216.42,,1261.0615124716555,,
2007-10-30,1995.99,1995.99,1995.99,1995.99,,1331.0547017600693,,
2007-10-31,666.61,666.61,666.61,666.61,,1267.774253973396,,
2007-11-01,2928.32,2928.32,2928.32,2928.32,,1425.9214678806916,,
2007-11-02,1049.77,1049.77,1049.77,1049.77,,1390.097518558721,,
2007-11-05,1959.3,1959.3,1959.3,1959.3,,1444.3072786959856,,
2007-11-06,1283.35,1283.35,1283.35,1283.35,,1428.9780140582727,,
2007-11-07,3129.49,3129.49,3129.49,3129.49,,1590.9315365289133,,
2007-11-08,3446.79,3446.79,3446.79,3446.79,,1767.6799616213978,,
2007-11-09,2979.14,2979.14,2979.14,2979.14,,1883.0571081336457,,
2007-11-12,2576.49,2576.49,2576.49,2576.49,,1949.0983359304414,,
2007-11-13,308.2,308.2,308.2,308.2,,1792.822303937066,,
2007-11-14,2203.84,2203.84,2203.84,2203.84,,1831.9668464192503,,
2007-11-15,2218.49,2218.49,2218.49,2218.49,,1868.7785753317025,,
2007-11-16,1198.61,1198.61,1198.61,1198.61,,1804.9529967286833,,
2007-11-19,2502.04,2502.04,2502.04,2502.04,,1871.3422351354752,,
2007-11-20,1803.44,1803.44,1803.44,1803.44,,1864.8753555987632,,
2007-11-21,2258.75,2258.75,2258.75,2258.75,,1902.3872264941192,,
2007-11-23,159.16,159.16,159.16,159.16,,1736.3655858756317,,
2007-11-26,2250.49,2250.49,2250.49,2250.49,,1785.3298157922382,,
2007-11-27,498.86,498.86,498.86,498.86,,1662.8088809548822,,
2007-11-28,339.32,339.32,339.32,339.32,,1536.762320863941,,
2007-11-29,1313.15,1313.15,1313.15,1313.15,,1515.4659093530895,,
2007-11-30,1313.81,1313.81,1313.81,1313.81,,1496.2605846527952,,
2007-12-03,1679.06,1679.06,1679.06,1679.06,,1513.6700527811004,,
2007-12-04,1730.82,1730.82,1730.82,1730.82,,1534.3510001352813,,
2007-12-05,734.1,734.1,734.1,734.1,,1458.1366191700165,,
2007-12-06,497.02,497.02,497.02,497.02,,1366.6017030585863,,
2007-12-07,1271.39,1271.39,1271.39,1271.39,,1357.5339218149113,1490.7314,
2007-12-10,695.21,695.21,695.21,695.21,,1294.4554530706341,1459.534482352941,
2007-12-11,2472.95,2472.95,2472.95,2472.95,,1406.6930289686688,1499.276267358708,
2007-12-12,1120.02,1120.02,1120.02,1120.02,,1379.3908357335574,1484.4034725603274,
2007-12-13,1826.83,1826.83,1826.83,1826.83,,1422.0040894732185,1497.8319638324715,
2007-12-14,1757.18,1757.18,1757.18,1757.18,,1453.9256047614833,1508.0024750547275,
2007-12-17,2162.95,2162.95,2162.95,2162.95,,1521.451737641342,1533.686691719248,
2007-12-18,763.33,763.33,763.33,763.33,,1449.2496673897858,1503.4766253773169,
2007-12-19,980.86,980.86,980.86,980.86,,1404.6411276383776,1482.9818557546769,
2007-12-20,681.93,681.93,681.93,681.93,,1335.8114964347226,1451.5680574897876,
2007-12-21,580.49,580.49,580.49,580.49,,1263.876115821892,1417.4081336666586,
2007-12-24,208.36,208.36,208.36,208.36,,1163.3507714579023,1369.9944813660054,
2007-12-26,460.59,460.59,460.59,460.59,,1096.4211741761974,1334.3315605281227,
2007-12-27,1486.75,1486.75,1486.75,1486.75,,1133.5953480641786,1340.3087542329022,
2007-12-28,1020.9,1020.9,1020.9,1020.9,,1122.862457772352,1327.7829207335726,
2007-12-31,1353.58,1353.58,1353.58,1353.58,,1144.835557032128,1328.7945709008834,
2008-01-02,2134.68,2134.68,2134.68,2134.68,,1239.1064563624016,1360.397921061633,
2008-01-03,1477.42,1477.42,1477.42,1477.42,,1261.802984327887,1364.987022196471,
2008-01-04,2985.1,2985.1,2985.1,2985.1,,1425.926509629993,1428.520864463276,
2008-01-07,1868.98,1868.98,1868.98,1868.98,,1468.1220801414222,1445.793771739226,
2008-01-08,2895.87,2895.87,2895.87,2895.87,,1604.0980725089057,1502.659506180825,
2008-01-09,1510.87,1510.87,1510.87,1510.87,,1595.2192084604385,1502.9814863305967,
2008-01-10,1101.99,1101.99,1101.99,1101.99,,1548.244998130873,1487.2563300039067,
2008-01-11,2443.33,2443.33,2443.33,2443.33,,1633.4911887850756,1524.7494151017927,
2008-01-14,539.84,539.84,539.84,539.84,,1529.3339327103065,1486.1255164703498,
2008-01-15,2841.51,2841.51,2841.51,2841.51,,1654.3030819759915,1539.2778491577872,
2008-01-16,2869.28,2869.28,2869.28,2869.28,,1770.0151694068495,1591.4347962496386,
2008-01-17,3254.69,3254.69,3254.69,3254.69,,1911.4127723204829,1656.6604905143586,
2008-01-18,2754.13,2754.13,2754.13,2754.13,,1991.6715559090082,1699.6985104941878,
2008-01-23,1444,1444,1444,1444,,1939.5123601081502,1689.6711179257882,
2008-01-24,1110.69,1110.69,1110.69,1110.69,,1860.5768972407075,1666.9659760463455,
2008-01-25,2741.87,2741.87,2741.87,2741.87,,1944.5095736939734,1709.1190750249202,
2008-01-28,892.78,892.78,892.78,892.78,,1844.3448523897855,1677.1057779651194,
2008-01-29,864.19,864.19,864.19,864.19,,1750.996771209806,1645.2267278488403,
2008-01-30,2650.04,2650.04,2650.04,2650.04,,1836.619935856491,1684.6311698939837,
2008-01-31,791.46,791.46,791.46,791.46,,1737.0808943463492,1649.6048495059845,
2008-02-01,1221.65,1221.65,1221.65,1221.65,,1687.992237741935,1632.8223063881028,
2008-02-04,1881.26,1881.26,1881.26,1881.26,,1706.3986912903222,1642.5649610395496,
