time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,754,754,754,754,,,,
2007-10-01,1659,1659,1659,1659,,,,
2007-10-02,1186,1186,1186,1186,,,,
2007-10-03,655,655,655,655,,,,
2007-10-04,1219,1219,1219,1219,,,,
2007-10-05,1705,1705,1705,1705,,,,
2007-10-08,659,659,659,659,,,,
2007-10-09,1418,1418,1418,1418,,,,
2007-10-10,904,904,904,904,,,,
2007-10-11,688,688,688,688,,,,
2007-10-12,1263,1263,1263,1263,,,,
2007-10-15,474,474,474,474,,,,
2007-10-16,542,542,542,542,,,,
2007-10-17,1066,1066,1066,1066,,,,
2007-10-18,1005,1005,1005,1005,,,,
2007-10-19,155,155,155,155,,,,
2007-10-22,1267,1267,1267,1267,,,,
2007-10-23,1380,1380,1380,1380,,,,
2007-10-24,801,801,801,801,,,,
2007-10-25,1027,1027,1027,1027,,991.35,,
2007-10-26,1568,1568,1568,1568,,1046.2690476190476,,
2007-10-29,1142,1142,1142,1142,,1055.3862811791382,,
2007-10-30,737,737,737,737,,1025.0637782096965,,
2007-10-31,1575,1575,1575,1575,,1077.4386564754398,,
2007-11-01,204,204,204,204,,994.2540225253979,,
2007-11-02,1053,1053,1053,1053,,999.848877522979,,
2007-11-05,521,521,521,521,,954.2442225207906,,
2007-11-06,1460,1460,1460,1460,,1002.4114394235725,,
2007-11-07,184,184,184,184,,924.4674928118036,,
2007-11-08,1142,1142,1142,1142,,945.1848744487747,,
2007-11-09,557,557,557,557,,908.2148864060343,,
2007-11-12,720,720,720,720,,890.2896591292691,,
2007-11-13,1768,1768,1768,1768,,973.8811201645768,,
2007-11-14,732,732,732,732,,950.8448230060457,,
2007-11-15,478,478,478,478,,905.8119827197556,,
2007-11-16,972,972,972,972,,912.1156034131122,,
2007-11-19,263,263,263,263,,850.2950697547205,,
2007-11-20,1054,1054,1054,1054,,869.69553930189,,
2007-11-21,478,478,478,478,,832.3912022255195,,
2007-11-23,1739,1739,1739,1739,,918.7348972516604,,
2007-11-26,341,341,341,341,,863.7125260848356,,
2007-11-27,1421,1421,1421,1421,,916.7875236005656,,
2007-11-28,1854,1854,1854,1854,,1006.045854686226,,
2007-11-29,790,790,790,790,,985.4700590018235,,
2007-11-30,1345,1345,1345,1345,,1019.7110057635546,,
2007-12-03,711,711,711,711,,990.309957595597,,
2007-12-04,642,642,642,642,,957.1375806817306,,
2007-12-05,1607,1607,1607,1607,,1019.0292396644229,,
2007-12-06,1686,1686,1686,1686,,1082.5502644582873,,
2007-12-07,1013,1013,1013,1013,,1075.9264297479742,991.68,
2007-12-10,1344,1344,1344,1344,,1101.4572459624528,1005.4964705882353,
2007-12-11,202,202,202,202,,1015.7946511088859,973.9868050749711,
2007-12-12,1204,1204,1204,1204,,1033.7189700508968,983.0069303661487,
2007-12-13,784,784,784,784,,1009.9362109984304,975.2027370184566,
2007-12-14,351,351,351,351,,947.1803813795323,950.7241983118504,
2007-12-17,320,320,320,320,,887.4489164862434,925.9899160251111,
2007-12-18,1417,1417,1417,1417,,937.8823530113631,945.2452134358911,
2007-12-19,984,984,984,984,,942.2745098674237,946.7650089874247,
2007-12-20,1302,1302,1302,1302,,976.5340803562405,960.6957929487022,
2007-12-21,1687,1687,1687,1687,,1044.1975012746936,989.1783108722825,
2007-12-24,1560,1560,1560,1560,,1093.3215487723419,1011.5634751518008,
2007-12-26,977,977,977,977,,1082.2433060321189,1010.208044753691,
2007-12-27,287,287,287,287,,1006.5058483147742,981.8469449594286,
2007-12-28,1022,1022,1022,1022,,1007.9814818086053,983.4215745688628,
2007-12-31,758,758,758,758,,984.1737216363572,974.5815128210642,
2008-01-02,569,569,569,569,,944.6333671947993,958.6763554555322,
2008-01-03,774,774,774,774,,928.3825703191042,951.4341454376682,
2008-01-04,233,233,233,233,,862.1556588601419,923.2602573812891,
2008-01-07,1078,1078,1078,1078,,882.7122627782236,929.3284825820228,
2008-01-08,449,449,449,449,,841.4063329898213,910.4920715003749,
2008-01-09,1260,1260,1260,1260,,881.2723965146002,924.19826477487,
2008-01-10,1320,1320,1320,1320,,923.055977798924,939.7199014503653,
2008-01-11,466,466,466,466,,879.5268370561694,921.1426504130961,
2008-01-14,1333,1333,1333,1333,,922.7147573365341,937.2939190243472,
2008-01-15,294,294,294,294,,862.8371613997214,912.0667065135885,
2008-01-16,1035,1035,1035,1035,,879.2336222187955,916.8876199836438,
2008-01-17,254,254,254,254,,819.6875629598626,890.8920270431088,
2008-01-18,781,781,781,781,,816.0030331541614,886.5825357865162,
2008-01-23,1441,1441,1441,1441,,875.526553806146,908.3243971282214,
2008-01-24,1183,1183,1183,1183,,904.8097391579416,919.095989397703,
2008-01-25,753,753,753,753,,890.3516687619472,912.5824211860283,
2008-01-28,1645,1645,1645,1645,,962.2229384036665,941.3046791787331,
2008-01-29,1247,1247,1247,1247,,989.344563317603,953.2927309756454,
2008-01-30,716,716,716,716,,963.3117477635457,943.9871336824829,
2008-01-31,1571,1571,1571,1571,,1021.1868194051127,968.5758735380717,
2008-02-01,1652,1652,1652,1652,,1081.2642651760543,995.3768196738337,
2008-02-04,788,788,788,788,,1053.3343351592873,987.244395372899,
2008-02-05,214,214,214,214,,973.3977318107837,956.9210857504324,
2008-02-06,661,661,661,661,,943.6455668764233,945.3163372896312,
2008-02-07,1387,1387,1387,1387,,985.8697986024782,962.6372652390575,
2008-02-08,779,779,779,779,,966.1679130212898,955.4358038571336,
2008-02-11,1197,1197,1197,1197,,988.1519213049764,964.9089095882264,
2008-02-12,1312,1312,1312,1312,,1018.9945954664073,978.520324898492,
2008-02-13,1560,1560,1560,1560,,1070.5189197077018,1001.3234494122767,
2008-02-14,412,412,412,412,,1007.8028321164921,978.2127259059129,
2008-02-15,829,829,829,829,,990.7739909625406,972.3612464586222,
2008-02-19,1099,1099,1099,1099,,1001.081229918489,977.3274720876958,
2008-02-20,1384,1384,1384,1384,,1037.5496842119662,993.2754143587665,
2008-02-21,441,441,441,441,,980.7354285727314,971.6175549721482,
2008-02-22,1292,1292,1292,1292,,1010.3796734705664,984.1815724242208,971.92
2008-02-25,1672,1672,1672,1672,,1073.3911331400363,1011.1548440938592,985.7829702970297
2008-02-26,1427,1427,1427,1427,,1107.0681680790806,1027.462497266649,994.5199411822371
2008-02-27,877,877,877,877,,1085.156913976311,1021.5620071777608,992.1928136340739
2008-02-28,598,598,598,598,,1038.7610174071385,1004.9517323864761,984.3870153442903
2008-02-29,189,189,189,189,,957.8313967016968,972.9536252340653,968.6367774166805
2008-03-03,1029,1029,1029,1029,,964.6093589205828,975.1515222837098,969.832088754964
2008-03-04,721,721,721,721,,941.408467594813,965.1847959196427,964.9047206608063
2008-03-05,1196,1196,1196,1196,,965.6552802048309,974.2363725502449,969.4808648061369
2008-03-06,203,203,203,203,,893.021443994847,943.9918089208236,954.3030258990847
2008-03-07,725,725,725,725,,877.0194017096235,935.4038948454971,949.762371920885
2008-03-10,333,333,333,333,,825.2080301182308,911.7802126946933,937.549255645224
2008-03-11,1819,1819,1819,1819,,919.854884392685,947.3574592556857,955.003725830467
2008-03-12,687,687,687,687,,897.6782287362388,937.1473628142863,949.6967213585766
2008-03-13,1366,1366,1366,1366,,942.2803021899304,953.9651132921574,957.9403506386047
2008-03-14,228,228,228,228,,874.2536067432703,925.4958931630532,943.4860862695234
2008-03-17,455,455,455,455,,834.3246918153399,907.0450738233257,933.8130944622061
2008-03-18,1836,1836,1836,1836,,929.722340213879,943.4746787714305,951.6781817005783
2008-03-19,377,377,377,377,,877.0821173363667,921.2599854862764,940.2984157263095
2008-03-20,1482,1482,1482,1482,,934.6933442567126,943.2497899770107,951.0251797713331
2008-03-24,1677,1677,1677,1677,,1005.3892162322638,972.0243080171279,965.4009187857622
2008-03-25,1352,1352,1352,1352,,1038.3997670672863,986.925315545868,973.0563461365392
2008-03-26,708,708,708,708,,1006.9331225846877,975.9870678774025,967.807705618984
2008-03-27,614,614,614,614,,969.510920433765,961.7914965880926,960.8016124384101
2008-03-28,605,605,605,605,,934.7955946781683,947.7996731924811,953.7560359544811
2008-03-31,1345,1345,1345,1345,,973.8626808992951,963.3761565966976,961.5034411831053
2008-04-01,1789,1789,1789,1789,,1051.4948065279336,995.7535622203565,977.889511654727
2008-04-02,1219,1219,1219,1219,,1067.4476820967018,1004.5083244862249,982.663976770475
2008-04-03,1107,1107,1107,1107,,1071.2145695160634,1008.5276058789219,985.1260762403665
2008-04-04,1035,1035,1035,1035,,1067.765562895486,1009.5657389817093,986.1136786910523
2008-04-07,1060,1060,1060,1060,,1067.0259854768683,1011.5435531392893,987.5767741625166
2008-04-08,847,847,847,847,,1046.0711297171665,1005.0908647808858,984.7930756642489
2008-04-09,418,418,418,418,,986.254831648865,982.0676936130079,973.5694504035707
2008-04-10,1304,1304,1304,1304,,1016.516276253735,994.6924899419096,980.1126296035001
2008-04-11,261,261,261,261,,944.5623451819507,965.9202354343837,965.8727755519457
2008-04-14,861,861,861,861,,936.6040265931935,961.8057163977412,963.7960869271546
2008-04-15,1299,1299,1299,1299,,971.1179288224131,975.0290216370455,970.4337881761219
2008-04-16,1773,1773,1773,1773,,1047.4876498869453,1006.3220011806908,986.326188410258
2008-04-17,891,891,891,891,,1032.5840641834268,1001.7995697618402,984.4385411150054
2008-04-18,1578,1578,1578,1578,,1084.5284390231004,1024.3956650652974,996.1922333701538
2008-04-21,827,827,827,827,,1060.0019210209005,1016.6546585921485,992.8418921152992
2008-04-22,438,438,438,438,,1000.7636428284337,993.9623190395153,981.8549239546002
2008-04-23,1040,1040,1040,1040,,1004.5004387495353,995.7677182928676,983.0063115990636
2008-04-24,1270,1270,1270,1270,,1029.7861112495796,1006.5219254186375,988.6893549337356
2008-04-25,1317,1317,1317,1317,,1057.139814940096,1018.6975361865341,995.1905558261368
2008-04-28,1129,1129,1129,1129,,1063.9836420886581,1023.0231230027484,997.8402477899757
2008-04-29,724,724,724,724,,1031.604247604024,1011.2967260222485,992.4176686258178
2008-04-30,957,957,957,957,,1024.4990811655455,1009.1674426488271,991.7163286530293
2008-05-01,1464,1464,1464,1464,,1066.3563115307315,1027.0040135253437,1001.0684805608902
2008-05-02,1033,1033,1033,1033,,1063.1795199563762,1027.23915024984,1001.7007878765161
2008-05-05,887,887,887,887,,1046.400518055769,1021.7395757302384,999.429485146288
2008-05-06,1323,1323,1323,1323,,1072.7433258599815,1033.553710015327,1005.8368220740842
2008-05-07,410,410,410,410,,1009.6249138733166,1009.1006233480592,994.0380731221222
2008-05-08,1121,1121,1121,1121,,1020.2320649330007,1013.4888341971549,996.5521706840605
2008-05-09,854,854,854,854,,1004.4004397012864,1007.234370110992,993.7293554229899
2008-05-12,1576,1576,1576,1576,,1058.8384930630687,1029.5389046164432,1005.2594671967921
2008-05-13,1089,1089,1089,1089,,1061.7110175332525,1031.8707122785436,1006.9176955691329
2008-05-14,1157,1157,1157,1157,,1070.7861587205618,1036.777743169581,1009.889622389546
2008-05-15,1460,1460,1460,1460,,1107.8541436043179,1053.3746944178329,1018.8026991739115
2008-05-16,966,966,966,966,,1094.3442251658114,1049.948235813212,1017.7571011704676
2008-05-19,960,960,960,960,,1081.5495370547817,1046.4208540166155,1016.6133961967951
2008-05-20,711,711,711,711,,1046.2591049543264,1033.2670950355719,1010.5616457770566
2008-05-21,490,490,490,490,,993.2820473396287,1011.9625030733926,1000.2534943755307
2008-05-22,1183,1183,1183,1183,,1011.3504237834735,1018.6698558940438,1003.8722370611638
2008-05-23,403,403,403,403,,953.4122881850475,994.5259399766304,991.9737769213388
2008-05-27,1325,1325,1325,1325,,988.8015940721858,1007.4857070363704,998.5683555961638
2008-05-28,1175,1175,1175,1175,,1006.5347755891205,1014.0548949957284,1002.0620515249526
2008-05-29,1312,1312,1312,1312,,1035.62670172349,1025.7390167606018,1008.1994366432704
2008-05-30,1100,1100,1100,1100,,1041.7574920355385,1028.6512121817545,1010.0172695810273
2008-06-02,544,544,544,544,,994.3520166035825,1009.645282292274,1000.7892048368486
