time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,1240,1240,1240,1240,,,,
2007-10-01,369,369,369,369,,,,
2007-10-02,825,825,825,825,,,,
2007-10-03,1356,1356,1356,1356,,,,
2007-10-04,786,786,786,786,,,,
2007-10-05,318,318,318,318,,,,
2007-10-08,1349,1349,1349,1349,,,,
2007-10-09,593,593,593,593,,,,
2007-10-10,1087,1087,1087,1087,,,,
2007-10-11,1323,1323,1323,1323,,,,
2007-10-12,731,731,731,731,,,,
2007-10-15,1538,1538,1538,1538,,,,
2007-10-16,1473,1473,1473,1473,,,,
2007-10-17,953,953,953,953,,,,
2007-10-18,999,999,999,999,,,,
2007-10-19,1884,1884,1884,1884,,,,
2007-10-22,753,753,753,753,,,,
2007-10-23,622,622,622,622,,,,
2007-10-24,1221,1221,1221,1221,,,,
2007-10-25,988,988,988,988,,1020.4,,
2007-10-26,449,449,449,449,,965.9809523809523,,
2007-10-29,870,870,870,870,,956.8399092970521,,
2007-10-30,1267,1267,1267,1267,,986.3789655544757,,
2007-10-31,445,445,445,445,,934.819064073097,,
2007-11-01,1831,1831,1831,1831,,1020.1696293994687,,
2007-11-02,974,974,974,974,,1015.7725218376146,,
2007-11-05,1509,1509,1509,1509,,1062.7465673768893,,
2007-11-06,560,560,560,560,,1014.8659419124236,,
2007-11-07,1843,1843,1843,1843,,1093.7358522064785,,
2007-11-08,878,878,878,878,,1073.1895805677664,,
2007-11-09,1452,1452,1452,1452,,1109.2667633708363,,
2007-11-12,1295,1295,1295,1295,,1126.9556430498044,,
2007-11-13,255,255,255,255,,1043.9122484736326,,
2007-11-14,1281,1281,1281,1281,,1066.4920343332867,,
2007-11-15,1528,1528,1528,1528,,1110.4451739205927,,
2007-11-16,1030,1030,1030,1030,,1102.783728785298,,
2007-11-19,1764,1764,1764,1764,,1165.756706996222,,
2007-11-20,970,970,970,970,,1147.11321109182,,
2007-11-21,1552,1552,1552,1552,,1185.6738576545038,,
2007-11-23,273,273,273,273,,1098.7525378778844,,
2007-11-26,1694,1694,1694,1694,,1155.442772365705,,
2007-11-27,606,606,606,606,,1103.1148892832568,,
2007-11-28,181,181,181,181,,1015.2944236372324,,
2007-11-29,1226,1226,1226,1226,,1035.3616213860673,,
2007-11-30,682,682,682,682,,1001.7081336350133,,
2007-12-03,1314,1314,1314,1314,,1031.4502161459643,,
2007-12-04,1370,1370,1370,1370,,1063.6930527034915,,
2007-12-05,420,420,420,420,,1002.3889524460161,,
2007-12-06,349,349,349,349,,940.1614331654431,,
2007-12-07,1005,1005,1005,1005,,946.3365347687343,1025.62,
2007-12-10,687,687,687,687,,921.637817171712,1012.3407843137254,
2007-12-11,1839,1839,1839,1839,,1009.0056441077394,1044.7587927720108,
2007-12-12,824,824,824,824,,991.3860589546214,1036.1015852123242,
2007-12-13,1233,1233,1233,1233,,1014.3969104827527,1043.8230916745858,
2007-12-14,1665,1665,1665,1665,,1076.3591094843953,1068.1829704324452,
2007-12-17,1706,1706,1706,1706,,1136.3249085811194,1093.1954029645062,
2007-12-18,603,603,603,603,,1085.5320601448223,1073.9720538286433,
2007-12-19,1031,1031,1031,1031,,1080.33853060722,1072.286875247128,
2007-12-20,712,712,712,712,,1045.2586705493895,1058.1579781786131,
2007-12-21,342,342,342,342,,978.2816543065906,1030.0733515833733,
2007-12-24,455,455,455,455,,928.4453062773914,1007.5214554428488,
2007-12-26,1035,1035,1035,1035,,938.5933723462113,1008.5990454254822,
2007-12-27,1752,1752,1752,1752,,1016.0606702180006,1037.7520240362476,
2007-12-28,1005,1005,1005,1005,,1015.0072730543815,1036.467630936787,
2007-12-31,1260,1260,1260,1260,,1038.339913715869,1045.2336061941678,
2008-01-02,1456,1456,1456,1456,,1078.117064790548,1061.342092225769,
2008-01-03,1243,1243,1243,1243,,1093.8202014771625,1068.465931746327,
2008-01-04,1795,1795,1795,1795,,1160.599229907909,1096.9574638347062,
2008-01-07,955,955,955,955,,1141.0183508690604,1091.3905044686394,
2008-01-08,1586,1586,1586,1586,,1183.3975555481975,1110.7869552737907,
2008-01-09,773,773,773,773,,1144.3120740674167,1097.5404080081519,
2008-01-10,698,698,698,698,,1101.8061622514722,1081.8721567137145,
2008-01-11,1563,1563,1563,1563,,1145.729384894189,1100.739915273961,
2008-01-14,693,693,693,693,,1102.612300618552,1084.7501146749821,
2008-01-15,1740,1740,1740,1740,,1163.3158910358327,1110.4461886092965,
2008-01-16,1001,1001,1001,1001,,1147.8572347467057,1106.1541812128535,
2008-01-17,1787,1787,1787,1787,,1208.7279742946384,1132.854017243722,
2008-01-18,1238,1238,1238,1238,,1211.5157862665776,1136.977389116517,
