time,open,high,low,close,EMA,EMA,EMA,EMA
2008-07-31,58.3,2791.64,54.89,2788.55,,,,
2008-08-01,4.71,2078.87,4.71,2073.56,,,,
2008-08-04,0.64,2505.99,0.64,2480.79,,,,
2008-08-05,0.09,1062.61,0.09,942.54,,,,
2008-08-06,0.01,1982.85,0.01,1925.29,,,,
2008-08-07,0.05,3171.02,0.05,3167.11,,,,
2008-08-08,0.04,1121.09,0.04,1060.51,,,,
2008-08-11,1.34,1689.74,1.34,1603.6,,,,
2008-08-12,1.21,2666.15,1.21,2666.14,,,,
2008-08-13,1.74,2332.95,1.74,2317.94,,,,
2008-08-14,0.57,1131.82,0.57,1075.62,,,,
2008-08-15,0.56,1412.18,0.56,1387.66,,,,
2008-08-18,0.44,2454.41,0.44,2452.98,,,,
2008-08-19,0.09,2425.79,0.09,2425.79,,,,
2008-08-20,0.02,1885.53,0.02,1554.22,,,,
2008-08-21,0.03,1754.77,0.03,1749.1,,,,
2008-08-22,0.47,1066.13,0.47,1010.42,,,,
2008-08-25,1.33,2233.67,1.33,2233.67,,,,
2008-08-26,1.04,1345.59,1.04,1091.79,,,,
2008-08-27,0.84,789.52,0.84,668.64,,1833.7960000000003,,
2008-08-28,0.09,624.95,0.09,594.26,,1715.7449523809526,,
2008-08-29,3.04,1903.04,3.04,1903.04,,1733.582575963719,,
2008-09-02,0.33,1952.52,0.33,1675.27,,1728.0289973005076,,
2008-09-03,1.95,2006.21,1.95,1908.82,,1745.2471880337926,,
2008-09-04,0.3,3389.18,0.3,3386.95,,1901.599836792479,,
2008-09-05,0.9,1772.78,0.9,1602.16,,1873.0817570979573,,
2008-09-08,0.01,2368.71,0.01,2364.51,,1919.8844468981517,,
2008-09-09,2.68,4297.84,2.68,4275,,2144.181166241185,,
2008-09-10,0.01,2605.64,0.01,2571.28,,2184.8572456467864,,
2008-09-11,38.26,2963.48,38.26,1748.13,,2143.2641746328068,,
2008-09-12,10.35,2450.69,10.35,2397.6,,2167.486634191587,,
2008-09-15,69.08,4972.14,69.08,4972.14,,2434.5964785542933,,
2008-09-16,33,3516.7,33,2105.96,,2403.2977663110273,,
2008-09-17,28.46,5130.13,28.46,5130.13,,2662.9960742814055,,
2008-09-18,3.2,2456.51,3.2,379.76,,2445.5450195879384,,
2008-09-19,0.29,1029.97,0.29,857.8,,2294.331208198611,,
2008-09-22,1.73,3158.98,1.73,3158.98,,2376.6787121796956,,
2008-09-23,1.74,2805.15,1.74,2805.15,,2417.4855014959153,,
2008-09-24,0.16,2418.14,0.16,2223.29,,2398.990691829638,,
2008-09-25,1.12,1999.28,1.12,1998.81,,2360.87824498872,,
2008-09-26,11.46,2747.97,11.46,2388.33,,2363.492697846937,,
2008-09-29,2.68,4560.98,2.68,4560.98,,2572.777202813895,,
2008-09-30,0.39,642.27,0.39,625.77,,2387.347945403048,,
2008-10-01,1.35,2158.38,1.35,1984.18,,2348.9509982218055,,
2008-10-02,20.03,3602.52,20.03,3569.58,,2465.2013793435385,,
2008-10-03,4.02,3500.4,4.02,3493.04,,2563.090771787011,,
2008-10-06,4.88,3887.59,4.88,3887.59,,2689.233555426343,,
2008-10-07,0.64,4107.86,0.64,4107.67,,2824.3227406238343,,
2008-10-08,29.01,3408.45,29.01,3406.31,,2879.7500986596597,,
2008-10-09,0.04,4584.03,0.04,4583.66,,3042.0272321206444,2346.8414000000002,
2008-10-10,2.68,3459.43,2.68,2955.56,,3033.792257632964,2370.712717647059,
2008-10-13,0.09,577.73,0.09,291.19,,2772.5920426203006,2289.162807151096,
2008-10-14,0.15,2444.22,0.15,2102.33,,2708.757562370748,2281.8360304000726,
2008-10-15,3.7,2342.78,3.7,2315.58,,2671.3120802402004,2283.15932332556,
2008-10-16,0.62,1263.42,0.62,221.04,,2437.9528345030385,2202.2918988814204,
2008-10-17,1.3,1411.58,1.3,1409.29,,2339.9849455027493,2171.193785199796,
2008-10-20,0.05,527.53,0.05,340.36,,2149.5444745024874,2099.3963818586276,
2008-10-21,0.33,1926.84,0.33,1926.84,,2128.3345245498695,2092.6294649229953,
2008-10-22,0.22,2332.82,0.22,2332.82,,2147.809331735596,2102.048701592682,
2008-10-23,0.19,1771.61,0.19,1328.35,,2069.7655858560156,2071.7075760400276,
2008-10-24,4.63,1910.93,4.63,1910.93,,2054.638387203062,2065.4025730580656,
2008-10-27,1.07,2070.3,1.07,2070.3,,2056.129969374199,2065.594629016573,
2008-10-28,0.01,617.95,0.01,94.81,,1869.337591338561,1988.3089572904328,
2008-10-29,0.61,1565.7,0.61,1488.92,,1833.1073445444124,1968.7250766123766,
2008-10-30,0.09,918.84,0.09,463.89,,1702.7056926830398,1909.7119363530678,
2008-10-31,1.37,982.52,1.37,788.29,,1615.6184838560837,1865.7346055156927,
2008-11-03,0.37,1490.54,0.37,1432.12,,1598.1424377745518,1848.730111181744,
2008-11-04,0.26,594.7,0.26,449.66,,1488.7631579864992,1793.8646166255971,
2008-11-05,0.23,2458.64,0.23,2458.64,,1581.132381035404,1819.9342395030246,
2008-11-06,3.27,2496.17,3.27,2496.17,,1668.278820936794,1846.4532889342786,
2008-11-07,0.01,1173.84,0.01,314.15,,1539.314171323766,1786.3629638780324,
2008-11-10,2.54,1690.12,2.54,1647.64,,1549.6309169119788,1780.9228476475214,
2008-11-11,4.51,2082.33,4.51,2074.61,,1599.6289248251237,1792.4399908770304,
2008-11-12,1.68,2480.65,1.68,2480.65,,1683.5356938893976,1819.4286186857744,
2008-11-13,0.36,1355.71,0.36,95.48,,1532.2922944713598,1751.8227905020185,
2008-11-14,1.4,1824.65,1.4,1824.65,,1560.1358854740874,1754.6787595019393,
2008-11-17,0.05,1769.41,0.05,1769.41,,1580.0667535241744,1755.2564552077456,
2008-11-18,0.19,1816,0.19,1375.25,,1560.5603960456815,1740.35424127803,
2008-11-19,0.11,2469.93,0.11,2469.93,,1647.1670249937117,1768.9650553455583,
2008-11-20,0.05,2549.31,0.05,2549.31,,1733.0854035657392,1799.5668178810265,
2008-11-21,0.06,1509.47,0.06,642.56,,1629.225841321383,1754.1940014935353,
2008-11-24,0.05,252.9,0.05,213.52,,1494.3967135764894,1693.7754131996712,
2008-11-25,0.13,769.26,0.13,612.63,,1410.4189313311094,1651.3775538585076,
2008-11-26,0.74,303.34,0.74,139.56,,1289.3847473948133,1592.0905909620956,
2008-11-28,0.53,343.16,0.53,342.85,,1199.2385809762598,1543.1007638655428,
2008-12-01,1.46,2041.12,1.46,2041.12,,1279.4177637404255,1562.6309299884626,
2008-12-02,0.33,439.45,0.33,210.15,,1177.5827386222898,1509.5924621457777,
2008-12-03,3.38,2465.73,3.38,1156.27,,1175.5529539915956,1495.7366793165315,
2008-12-04,0.33,3694.98,0.33,3694.98,,1415.498386944777,1581.9815154217656,
2008-12-05,0.38,1925.61,0.38,816.12,,1358.4147310452745,1551.947730503265,
2008-12-08,0.11,963.43,0.11,801.91,,1305.414280469534,1522.5344861698036,
2008-12-09,3.21,3219.07,3.21,3219.07,,1487.6672061391023,1589.065290633733,
2008-12-10,1.62,1812.61,1.62,1587.48,,1497.1731865068068,1589.0031223735866,
2008-12-11,2.31,3853.91,2.31,3853.91,,1721.6243116013966,1677.8229999275636,
2008-12-12,4.86,2041.64,4.86,1308.7,,1682.298186686978,1663.3475881656984,
2008-12-15,0.77,2583.16,0.77,2581.54,,1767.940264145361,1699.355133727828,
2008-12-16,1.39,688.12,1.39,349.25,,1632.8269056553265,1646.4098343659523,
2008-12-17,2.64,2471.57,2.64,2450.37,,1710.6881527357716,1677.93768399866,
2008-12-18,1.24,3498.37,1.24,3498.37,,1880.9435667609362,1749.3271865869478,
2008-12-19,0.51,2394.35,0.51,2371.57,,1927.6698937360852,1773.7288655443224,1947.121700000001
2008-12-22,0.52,2861.77,0.52,2861.77,,2016.6318086183628,1816.397145326898,1965.2335475247535
2008-12-23,0.23,2191.1,0.23,2189.05,,2033.0525887499473,1831.0109827650588,1969.6655564846594
