time,open,high,low,close,EMA,EMA,EMA,EMA
2006-12-29,68,68,68,68,,,,
2007-01-02,68,68,68,68,,,,
2007-01-03,69,69,69,69,,,,
2007-01-04,74,74,74,74,,,,
2007-01-05,71,71,71,71,,,,
2007-01-08,71,71,71,71,,,,
2007-01-09,71,71,71,71,,,,
2007-01-10,73,73,73,73,,,,
2007-01-11,78,78,78,78,,,,
2007-01-12,78,78,78,78,,,,
2007-01-15,78,78,78,78,,,,
2007-01-16,76,76,76,76,,,,
2007-01-17,76,76,76,76,,,,
2007-01-18,74,74,74,74,,,,
2007-01-19,75,75,75,75,,,,
2007-01-22,74,74,74,74,,,,
2007-01-23,73,73,73,73,,,,
2007-01-24,78,78,78,78,,,,
2007-01-25,74,74,74,74,,,,
2007-01-26,74,74,74,74,,73.65,,
2007-01-29,74,74,74,74,,73.68333333333334,,
2007-01-30,75,75,75,75,,73.80873015873016,,
2007-01-31,77,77,77,77,,74.11266061980348,,
2007-02-01,77,77,77,77,,74.38764532267933,,
2007-02-02,78,78,78,78,,74.73167910147178,,
2007-02-05,78,78,78,78,,75.04294775847447,,
2007-02-06,78,78,78,78,,75.3245717814769,,
2007-02-07,81,81,81,81,,75.86508875466959,,
2007-02-08,81,81,81,81,,76.35412792089153,,
2007-02-09,78,78,78,78,,76.51087764271138,,
2007-02-12,78,78,78,78,,76.65269881959601,,
2007-02-13,80,80,80,80,,76.97148940820591,,
2007-02-14,84,84,84,84,,77.64087136932916,,
2007-02-15,84,84,84,84,,78.24650266748829,,
2007-02-16,84,84,84,84,,78.79445479439417,,
2007-02-19,84,84,84,84,,79.29022100445187,,
2007-02-20,86,86,86,86,,79.92924757545644,,
2007-02-21,86,86,86,86,,80.50741447303201,,
2007-02-22,88,88,88,88,,81.22099404702897,,
2007-02-23,89,89,89,89,,81.96185175683573,,
2007-02-26,86,86,86,86,,82.34643730380375,,
2007-02-27,81,81,81,81,,82.21820517963197,,
2007-02-28,80,80,80,80,,82.00694754347654,,
2007-03-01,78,78,78,78,,81.62533349171687,,
2007-03-02,74,74,74,74,,80.8991112544105,,
2007-03-05,72,72,72,72,,80.05157684922855,,
2007-03-06,75,75,75,75,,79.57047429215916,,
2007-03-07,73,73,73,73,,78.94471483576305,,
2007-03-08,78,78,78,78,,78.85474199426181,,
2007-03-09,77,77,77,77,,78.67809989957021,77.34,
2007-03-12,80,80,80,80,,78.8039951472302,77.4443137254902,
2007-03-13,69,69,69,69,,77.87028132368447,77.11316416762784,
2007-03-14,73,73,73,73,,77.40644500714309,76.9518636120346,
2007-03-15,72,72,72,72,,76.89154548265327,76.75767288215089,
2007-03-16,71,71,71,71,,76.33044591287677,76.5318817887332,
2007-03-19,75,75,75,75,,76.20373677831708,76.4718079930966,
2007-03-20,75,75,75,75,,76.08909518038212,76.41409003258302,
2007-03-21,79,79,79,79,,76.36632421082192,76.51549826659937,
2007-03-22,80,80,80,80,,76.71238857169602,76.6521453933994,
2007-03-23,80,80,80,80,,77.0254944220107,76.78343380934452,
2007-03-26,80,80,80,80,,77.30878066753348,76.90957365995845,
2007-03-27,83,83,83,83,,77.85080155633982,77.14841390858753,
2007-03-28,77,77,77,77,,77.7697728366884,77.14259375530959,
2007-03-29,75,75,75,75,,77.50598494747999,77.05857047078764,
2007-03-30,72,72,72,72,,76.98160542867237,76.86019515820773,
2007-04-02,72,72,72,72,,76.50716681641785,76.66959926965056,
2007-04-03,73,73,73,73,,76.17315092913996,76.52569341593878,
2007-04-04,74,74,74,74,,75.96618417398378,76.42664661531373,
2007-04-05,75,75,75,75,,75.87416663360437,76.37069968922299,
2007-04-06,75,75,75,75,,75.7909126684992,76.31694676023385,
2007-04-09,76,76,76,76,,75.81082574768976,76.3045174755188,
2007-04-10,77,77,77,77,,75.92408043838597,76.33179130000825,
2007-04-11,76,76,76,76,,75.9313108728254,76.31877987647852,
2007-04-12,78,78,78,78,,76.12832888493728,76.38471007740092,
2007-04-13,78,78,78,78,,76.30658327684802,76.44805478024794,
2007-04-16,80,80,80,80,,76.65833725048154,76.58734674964998,
2007-04-17,81,81,81,81,,77.07182894091187,76.76039197515391,
2007-04-18,81,81,81,81,,77.44594047034883,76.92665111338317,
