time,open,high,low,close,EMA,EMA,EMA,EMA
2006-12-29,65.42,65.42,65.42,65.42,,,,
2007-01-02,65.42,65.42,65.42,65.42,,,,
2007-01-03,64.88,64.88,64.88,64.88,,,,
2007-01-04,66.53,66.53,66.53,66.53,,,,
2007-01-05,55.79,55.79,55.79,55.79,,,,
2007-01-08,55.99,55.99,55.99,55.99,,,,
2007-01-09,58.06,58.06,58.06,58.06,,,,
2007-01-10,59.38,59.38,59.38,59.38,,,,
2007-01-11,66.8,66.8,66.8,66.8,,,,
2007-01-12,68.25,68.25,68.25,68.25,,,,
2007-01-15,68.25,68.25,68.25,68.25,,,,
2007-01-16,67.22,67.22,67.22,67.22,,,,
2007-01-17,67.42,67.42,67.42,67.42,,,,
2007-01-18,61.86,61.86,61.86,61.86,,,,
2007-01-19,65.98,65.98,65.98,65.98,,,,
2007-01-22,59.59,59.59,59.59,59.59,,,,
2007-01-23,65.57,65.57,65.57,65.57,,,,
2007-01-24,71.55,71.55,71.55,71.55,,,,
2007-01-25,60.41,60.41,60.41,60.41,,,,
2007-01-26,56.91,56.91,56.91,56.91,,63.56400000000001,,
2007-01-29,57.32,57.32,57.32,57.32,,62.96933333333334,,
2007-01-30,61.44,61.44,61.44,61.44,,62.823682539682544,,
2007-01-31,67.63,67.63,67.63,67.63,,63.281427059712776,,
2007-02-01,73.81,73.81,73.81,73.81,,64.28414829212109,,
2007-02-02,75.88,75.88,75.88,75.88,,65.3885151214429,,
2007-02-05,74.43,74.43,74.43,74.43,,66.24960891940071,,
2007-02-06,75.88,75.88,75.88,75.88,,67.16678902231493,,
2007-02-07,77.53,77.53,77.53,77.53,,68.15376149638017,,
2007-02-08,76.7,76.7,76.7,76.7,,68.9676889729154,,
2007-02-09,74.43,74.43,74.43,74.43,,69.48790907073298,,
2007-02-12,69.07,69.07,69.07,69.07,,69.44810820685365,,
2007-02-13,73.81,73.81,73.81,73.81,,69.86352647286759,,
2007-02-14,79.79,79.79,79.79,79.79,,70.80890490402305,,
