signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Börse,Ratio_Art,Niveau,Index,Mehrrendite,belastbar
stocks_ratio_70pct_fallend,30,775,0.016147803564670885,-0.06241347214331784,0.6905933991714965,0.01197949632199546,0.10541643328760841,0.009549919165755438,False,NASDAQ,stocks_ratio,70,S&P 500,0.0041683072426754245,True
stocks_ratio_70pct_fallend,60,775,0.0304909491266707,-0.08562995102131572,0.7278043885947338,0.024081544333417183,0.05175777404973948,0.031167505145186854,False,NASDAQ,stocks_ratio,70,S&P 500,0.006409404793253519,True
stocks_ratio_70pct_fallend,90,775,0.0434419432486243,-0.10335394621003495,0.6631037768309653,0.03654052573550044,0.09975210307699729,0.008761892658693872,False,NASDAQ,stocks_ratio,70,S&P 500,0.006901417513123856,True
stocks_ratio_70pct_fallend,30,775,0.014942378500980482,-0.0586561749081767,0.6839830319007243,0.010153208940029,0.04685497361400242,0.0014793592531215287,True,NASDAQ,stocks_ratio,70,Dow Jones,0.0047891695609514826,True
stocks_ratio_70pct_fallend,60,775,0.02699766800116002,-0.08049640240362732,0.7124356495758076,0.02012072512784474,0.021559270736391606,0.026123665449202027,True,NASDAQ,stocks_ratio,70,Dow Jones,0.006876942873315278,True
stocks_ratio_70pct_fallend,90,775,0.03612949816169537,-0.09735387925019183,0.626661628026504,0.030314762669667872,0.11665711171783634,0.03143010525502248,False,NASDAQ,stocks_ratio,70,Dow Jones,0.0058147354920274966,True
stocks_ratio_70pct_fallend,30,775,0.022459992024081672,-0.07207747283960204,0.8360966193283115,0.01909582167901598,0.2572206608126906,0.1393981148532287,False,NASDAQ,stocks_ratio,70,NASDAQ 100,0.003364170345065691,True
stocks_ratio_70pct_fallend,60,775,0.045738976390078546,-0.09826195093823578,0.8793609112198743,0.03898690196589121,0.09811770416550886,0.06835816150274218,False,NASDAQ,stocks_ratio,70,NASDAQ 100,0.006752074424187335,True
stocks_ratio_70pct_fallend,90,775,0.06963267149870642,-0.11758475607397627,0.8626169202580534,0.05916250684530102,0.04248420313599057,0.003937414717602392,True,NASDAQ,stocks_ratio,70,NASDAQ 100,0.010470164653405396,True
stocks_ratio_70pct_fallend,30,775,0.018909288554079515,-0.08174345270655956,0.6121872278737504,0.01139934006387728,0.0275686999319949,0.0013702918527360671,True,NASDAQ,stocks_ratio,70,Russell 2000,0.007509948490202235,True
stocks_ratio_70pct_fallend,60,775,0.03455279208416927,-0.11250189054350437,0.6246625482626398,0.022813289139560263,0.007180580146684292,0.00332591434383382,True,NASDAQ,stocks_ratio,70,Russell 2000,0.011739502944609004,True
stocks_ratio_70pct_fallend,90,775,0.04675448537829276,-0.1348461603115098,0.5581274598089053,0.034351194551070496,0.021583392225877827,0.004823769426373873,True,NASDAQ,stocks_ratio,70,Russell 2000,0.01240329082722226,True
stocks_ratio_80pct_fallend,30,255,0.018133703287168353,-0.07337034680470697,0.6598039687498611,0.01197949632199546,0.2245955324097512,0.006549744880946148,False,NASDAQ,stocks_ratio,80,S&P 500,0.006154206965172892,True
stocks_ratio_80pct_fallend,60,255,0.038265519260811856,-0.09476194724003673,0.801537818615578,0.024081544333417183,0.023595403566209927,0.0008866183436664172,True,NASDAQ,stocks_ratio,80,S&P 500,0.014183974927394673,True
stocks_ratio_80pct_fallend,90,255,0.04945487727138579,-0.11119921835275967,0.6844991227361248,0.03654052573550044,0.09450650178189235,0.0009039857971233416,False,NASDAQ,stocks_ratio,80,S&P 500,0.012914351535885348,True
stocks_ratio_80pct_fallend,30,255,0.016915915538635914,-0.06892114718138946,0.6844673860257576,0.010153208940029,0.1386378444305047,0.003902189359340214,False,NASDAQ,stocks_ratio,80,Dow Jones,0.006762706598606914,True
stocks_ratio_80pct_fallend,60,255,0.03494768175492824,-0.08888889814949727,0.8196576994597453,0.02012072512784474,0.008262128355469762,0.0008959974765174141,True,NASDAQ,stocks_ratio,80,Dow Jones,0.014826956627083498,True
stocks_ratio_80pct_fallend,90,255,0.04208000587368162,-0.10418290213974957,0.6615086861090708,0.030314762669667872,0.08406080800223492,0.0022153798942854525,False,NASDAQ,stocks_ratio,80,Dow Jones,0.011765243204013745,True
stocks_ratio_80pct_fallend,30,255,0.026307494090117896,-0.08045111596850284,0.8415471683651603,0.01909582167901598,0.21156851538287208,0.01902278396691064,False,NASDAQ,stocks_ratio,80,NASDAQ 100,0.007211672411101915,True
stocks_ratio_80pct_fallend,60,255,0.05582520834513139,-0.10366731639508749,0.9592303012788989,0.03898690196589121,0.027469662270424935,0.0018324557149109284,True,NASDAQ,stocks_ratio,80,NASDAQ 100,0.016838306379240178,True
stocks_ratio_80pct_fallend,90,255,0.08038524245968183,-0.12165652081751253,0.9123596901392309,0.05916250684530102,0.024529337171163026,0.00039199089199437766,True,NASDAQ,stocks_ratio,80,NASDAQ 100,0.02122273561438081,True
