signal,horizont_tage,n_events,mean_return,mean_mdd,sharpe,mean_return_basis,t_pvalue,u_pvalue,signifikant_5pct,Index
H4_D1,30,12,0.025983553546374338,-0.02930054684977428,2.3847344158722996,0.011872948475968544,0.15093042463231218,0.2124676346457124,False,S&P 500
H4_D1,60,12,0.028839885394802218,-0.04408155631736608,1.40209939801605,0.02374344520785139,0.6844880883371686,0.9968015785464122,False,S&P 500
H4_D1,90,12,0.03981223971178158,-0.05938368299563441,1.2006509829776888,0.03529331256112084,0.7837485799700712,0.8704407155603774,False,S&P 500
H4_D1,30,15,0.022088072120127682,-0.033699008920335796,2.341607701686282,0.01032190307332623,0.11919844279993579,0.30036811447912315,False,Dow Jones
H4_D1,60,15,0.021352157101777507,-0.06422693827278116,0.83424351676912,0.020419989060796,0.9462420064138407,0.9073728676882516,False,Dow Jones
H4_D1,90,15,0.015585270629823423,-0.08403684411958245,0.5062263749982383,0.029957510711876342,0.2998665879325958,0.18875545669078597,False,Dow Jones
H4_D1,30,9,0.006412480567601353,-0.05979680909782486,0.21855122121945456,0.019543165365942878,,,False,NASDAQ 100
H4_D1,60,9,0.027487223186754735,-0.08994999515525044,0.4668331614951861,0.03961843332982159,,,False,NASDAQ 100
H4_D1,90,9,0.04085610350135719,-0.0987286273469859,0.4976941101054356,0.0592477100694034,,,False,NASDAQ 100
H4_D1,30,6,-0.010450939004467086,-0.11788419681596875,-0.21038981999817483,0.010993108582537036,,,False,Russell 2000
H4_D1,60,6,-0.011723307041174505,-0.157795127016853,-0.11670822671325977,0.021730947087333752,,,False,Russell 2000
H4_D1,90,6,-0.06043378326364106,-0.18966041683839371,-0.5175561577250681,0.031998262689338,,,False,Russell 2000
H6_RSI_ueberverkauft,30,88,0.03938037572523712,-0.07402670256945848,1.279771589680369,0.011872948475968544,0.0049454936799960625,0.0034008397075454585,True,S&P 500
H6_RSI_ueberverkauft,60,88,0.0690751433443173,-0.09991894829650114,1.2333839102421444,0.02374344520785139,0.0003867375894058888,0.00015353239554155573,True,S&P 500
H6_RSI_ueberverkauft,90,88,0.06674187094561566,-0.12566212736799007,0.700510701329303,0.03529331256112084,0.06844160223211976,4.759875285034034e-05,False,S&P 500
H6_RSI_ueberverkauft,30,102,0.04802563430120413,-0.06400636317345008,1.8665598606280294,0.01032190307332623,1.6899296075203644e-06,1.8095139962960967e-09,True,Dow Jones
H6_RSI_ueberverkauft,60,102,0.07562482598441174,-0.08544048824921828,1.5070706022165752,0.020419989060796,4.404172409087403e-07,2.7536807236007807e-09,True,Dow Jones
H6_RSI_ueberverkauft,90,102,0.0670906312650451,-0.1103397399206802,0.8211634067795668,0.029957510711876342,0.00741508529804167,2.461079739543126e-07,True,Dow Jones
H6_RSI_ueberverkauft,30,55,0.009193142908239796,-0.10655759992105077,0.2229396950419462,0.019543165365942878,0.52413957556329,0.16348848031026653,False,NASDAQ 100
H6_RSI_ueberverkauft,60,55,0.05810866215315276,-0.12896958369633138,0.8840768583809672,0.03961843332982159,0.31446461703049056,0.23137269339519928,False,NASDAQ 100
H6_RSI_ueberverkauft,90,55,0.08105829447422956,-0.1406545813474618,0.8358486047170701,0.0592477100694034,0.32460036922264884,0.25417925053656654,False,NASDAQ 100
H6_RSI_ueberverkauft,30,124,0.029290047422076994,-0.10461110850534032,0.6738121216354737,0.010993108582537036,0.10992202402921895,0.24571226688116987,False,Russell 2000
H6_RSI_ueberverkauft,60,124,0.08286848956643875,-0.13132414576329368,1.2341879967981244,0.021730947087333752,2.725918450050664e-06,8.674255838452572e-06,True,Russell 2000
H6_RSI_ueberverkauft,90,124,0.08905566775475746,-0.15296432681531405,0.9393499062588379,0.031998262689338,0.00011827949040386029,2.7476899733066838e-05,True,Russell 2000
Trendscore_Verbesserung,30,100,0.009818731605600624,-0.06297857540920672,0.4623532465348664,0.011872948475968544,0.7413586752106965,0.8996591829164129,False,S&P 500
Trendscore_Verbesserung,60,100,0.028469539049473466,-0.08372683816751936,0.7408605243536166,0.02374344520785139,0.5535643927410435,0.3415002865980099,False,S&P 500
Trendscore_Verbesserung,90,100,0.05416565015043301,-0.09516858528522729,1.148162652584463,0.03529331256112084,0.020914018901212084,0.08150668764755757,False,S&P 500
Trendscore_Verbesserung,30,143,0.0097242232769211,-0.054200777051269425,0.5311462428914542,0.01032190307332623,0.8945642609301968,0.6736134178476256,False,Dow Jones
Trendscore_Verbesserung,60,143,0.028283893080407657,-0.07378719509292787,0.8277577868303283,0.020419989060796,0.1878907701681209,0.03598440870963398,False,Dow Jones
Trendscore_Verbesserung,90,143,0.05374366245049575,-0.08045588868145445,1.232228135421829,0.029957510711876342,0.00020283934520118184,0.00040243865158706737,True,Dow Jones
Trendscore_Verbesserung,30,118,0.017147878895618283,-0.07248610279148994,0.5618530778926786,0.019543165365942878,0.7706918192138198,0.8923467726813827,False,NASDAQ 100
Trendscore_Verbesserung,60,118,0.047892974111009845,-0.09540834500125249,0.737684345800771,0.03961843332982159,0.5031562836436199,0.13351966758827669,False,NASDAQ 100
Trendscore_Verbesserung,90,118,0.07412051933921993,-0.11652205403680152,0.7259268666280188,0.0592477100694034,0.3508727776069821,0.022296558206263965,False,NASDAQ 100
Trendscore_Verbesserung,30,156,0.0018721085569130581,-0.07582702718904351,0.07067233247582083,0.010993108582537036,0.14574069906893938,0.28390506135636606,False,Russell 2000
Trendscore_Verbesserung,60,156,0.02141689486871531,-0.10254309102170879,0.40384551241557276,0.021730947087333752,0.9716618848874748,0.5579238569468277,False,Russell 2000
Trendscore_Verbesserung,90,156,0.024053865377730774,-0.12344139863578271,0.2982262633205913,0.031998262689338,0.4694662282653392,0.865878242662518,False,Russell 2000
B3_Q1_SMA200,30,342,0.03785684341317318,-0.09584053758490828,1.1127706360889642,0.011872948475968544,2.136732333882299e-06,7.884407229179698e-18,True,S&P 500
B3_Q1_SMA200,60,342,0.05467921208916971,-0.12791024312292126,0.9090661047612533,0.02374344520785139,6.431218286547686e-06,3.0665111306621493e-12,True,S&P 500
B3_Q1_SMA200,90,342,0.08474902151747857,-0.1437030033290218,0.973994425606109,0.03529331256112084,1.6152766930375495e-09,4.4673132687809284e-17,True,S&P 500
B3_Q1_SMA200,30,352,0.02778174832325786,-0.07364647469779717,0.9488496639466976,0.01032190307332623,0.0001647586074376596,4.747051493916832e-11,True,Dow Jones
B3_Q1_SMA200,60,352,0.024965602908833085,-0.12009088488302036,0.40774164101524657,0.020419989060796,0.5021205737259777,3.591818634046098e-07,False,Dow Jones
B3_Q1_SMA200,90,352,0.02750304630366578,-0.14914702527929571,0.2961515356042592,0.029957510711876342,0.7696026216581126,0.06820427924445027,False,Dow Jones
B3_Q1_SMA200,30,332,0.03697046821177972,-0.1037814804211487,1.0376630454607274,0.019543165365942878,0.0026111397165677263,0.002406825528153114,True,NASDAQ 100
B3_Q1_SMA200,60,332,0.0649819698373126,-0.13478121497005607,1.0139346015718669,0.03961843332982159,0.000607047969291074,0.012034873242365716,True,NASDAQ 100
B3_Q1_SMA200,90,332,0.09138593007804728,-0.15200189850833118,0.9134571452965339,0.0592477100694034,0.0006422887724190995,0.013373659961997103,True,NASDAQ 100
B3_Q1_SMA200,30,220,0.08350294378002221,-0.07818293234161347,2.9829602844085903,0.010993108582537036,1.5698119560034344e-29,2.9782261529524276e-39,True,Russell 2000
B3_Q1_SMA200,60,220,0.1197836581184488,-0.10274756235873232,2.516258841339856,0.021730947087333752,7.548829998316141e-35,5.899305460343748e-40,True,Russell 2000
B3_Q1_SMA200,90,220,0.14599310551732908,-0.11365040473333472,1.9141133501246954,0.031998262689338,1.872658905118344e-29,4.080025856138342e-34,True,Russell 2000
B5_Fruehindikator_Erholung,30,33,0.02081917184742761,-0.08186638619394498,0.8782380112807457,0.011872948475968544,0.46086903147228975,0.1904665300156797,False,S&P 500
B5_Fruehindikator_Erholung,60,33,0.032488078200454906,-0.11479372822225203,0.6477821248777079,0.02374344520785139,0.6289745440655552,0.34951738759239503,False,S&P 500
B5_Fruehindikator_Erholung,90,33,0.06362100498847925,-0.1300281310120657,1.0514405064751067,0.03529331256112084,0.11874534066939335,0.11922471069087691,False,S&P 500
B5_Fruehindikator_Erholung,30,47,0.021659913354069645,-0.06568617355852858,0.8030591917658465,0.01032190307332623,0.3262766654392865,0.014365318925420064,False,Dow Jones
B5_Fruehindikator_Erholung,60,47,-0.008577673861558315,-0.12055898820946526,-0.14063365247362763,0.020419989060796,0.11911663236921385,0.817382244849252,False,Dow Jones
B5_Fruehindikator_Erholung,90,47,0.004017912864649171,-0.14913508856959348,0.04715858678397648,0.029957510711876342,0.21932684608948516,0.6808840643227192,False,Dow Jones
B5_Fruehindikator_Erholung,30,30,0.04107551537706132,-0.08799420144020938,1.6383729807913214,0.019543165365942878,0.116192586083352,0.13113046558776362,False,NASDAQ 100
B5_Fruehindikator_Erholung,60,30,0.05192503099038436,-0.11597710524957175,0.8840787449334545,0.03961843332982159,0.5804447723656954,0.7788880945001841,False,NASDAQ 100
B5_Fruehindikator_Erholung,90,30,0.07756480069795488,-0.13827539134294564,0.8269217013296537,0.0592477100694034,0.5283414440638892,0.6352662016284412,False,NASDAQ 100
B5_Fruehindikator_Erholung,30,12,0.08986360458903409,-0.06226746406428216,4.4128172118948195,0.010993108582537036,0.0007252452310507821,8.223524589981519e-05,True,Russell 2000
B5_Fruehindikator_Erholung,60,12,0.09759093366010423,-0.09986163675437343,2.2928120999540904,0.021730947087333752,0.011837216482954835,0.005577928704635444,True,Russell 2000
B5_Fruehindikator_Erholung,90,12,0.13179995724612473,-0.10585912464579046,2.112191289139558,0.031998262689338,0.006949540616797509,0.0029340853872967696,True,Russell 2000
B9_Collapse_SMA20,30,666,0.021374742710117148,-0.05908915026476411,0.9923911214494011,0.011872948475968544,0.00020615825129763931,1.5682827828443654e-08,True,S&P 500
B9_Collapse_SMA20,60,666,0.03454546005553281,-0.08086725369163555,0.9169166489683398,0.02374344520785139,0.0007314426611731352,0.0003905738700904696,True,S&P 500
B9_Collapse_SMA20,90,666,0.04544643001175427,-0.10011619289143298,0.7707963313072043,0.03529331256112084,0.012415136756225902,0.0015660029875466056,True,S&P 500
B9_Collapse_SMA20,30,777,0.015649282764251708,-0.05267049680128337,0.7987984712979932,0.01032190307332623,0.014577993677471302,7.573315063092427e-05,True,Dow Jones
B9_Collapse_SMA20,60,777,0.029859548692518598,-0.07349040694384804,0.9158902607997109,0.020419989060796,0.00031579683851744815,0.00020706065444916471,True,Dow Jones
B9_Collapse_SMA20,90,777,0.042704056530757976,-0.0874474416478407,0.9445104989150381,0.029957510711876342,2.1450653467516924e-05,0.0003425196306172199,True,Dow Jones
B9_Collapse_SMA20,30,660,0.026122868848674975,-0.06802382376469844,0.9827873285113289,0.019543165365942878,0.03695833911264724,1.0491634221900514e-05,True,NASDAQ 100
B9_Collapse_SMA20,60,660,0.051354393417557855,-0.0922160652227895,1.023933116626044,0.03961843332982159,0.005559991188166602,1.3523808763333139e-07,True,NASDAQ 100
B9_Collapse_SMA20,90,660,0.0742212892707096,-0.1112132980341288,0.9969086852078378,0.0592477100694034,0.0035491889670771154,2.894061144664384e-06,True,NASDAQ 100
B9_Collapse_SMA20,30,339,0.01820551733021153,-0.06341146666441033,0.7076911120961548,0.010993108582537036,0.08683282661883301,0.004048814128439096,False,Russell 2000
B9_Collapse_SMA20,60,339,0.02444238056337301,-0.09495175601393116,0.5178638246718581,0.021730947087333752,0.621592059653863,0.3946666062693296,False,Russell 2000
B9_Collapse_SMA20,90,339,0.035067056285765154,-0.11672420131379599,0.6048971245099282,0.031998262689338,0.5846552057276024,0.7733306598588158,False,Russell 2000
B9_Collapse_SMA50,30,231,0.014945785078347339,-0.06952789582871259,0.6599159543505273,0.011872948475968544,0.48488813560672755,0.0963971733575642,False,S&P 500
B9_Collapse_SMA50,60,231,0.04138170473799641,-0.08852200842533482,1.133859954841627,0.02374344520785139,0.00055280397923909,0.0036529751783110197,True,S&P 500
B9_Collapse_SMA50,90,231,0.05726718292431493,-0.1039873396570328,0.9744904627904265,0.03529331256112084,0.0010155698354342155,7.870523232696501e-05,True,S&P 500
B9_Collapse_SMA50,30,404,0.009367843619732018,-0.061033623477073036,0.4246023477337281,0.01032190307332623,0.7706851710814134,0.5378641915573685,False,Dow Jones
B9_Collapse_SMA50,60,404,0.02935041657678917,-0.08390342310064804,0.8930820117442153,0.020419989060796,0.011210837364120556,0.014131646046372742,True,Dow Jones
B9_Collapse_SMA50,90,404,0.04463073812254536,-0.093090393521901,0.9330324250860446,0.029957510711876342,0.00047917613109803905,0.0015873587470862632,True,Dow Jones
B9_Collapse_SMA50,30,261,0.025975329474736037,-0.07432448736444591,0.8916214874271221,0.019543165365942878,0.22713070603426352,0.0012340291024666595,False,NASDAQ 100
B9_Collapse_SMA50,60,261,0.05223277958542242,-0.10185704431463542,0.9695690069412415,0.03961843332982159,0.07113660168127109,0.0006562773282596825,False,NASDAQ 100
B9_Collapse_SMA50,90,261,0.07777022839863462,-0.11750217213408781,0.9845967564776594,0.0592477100694034,0.02720117755984195,0.0010418750005000443,True,NASDAQ 100
B9_Collapse_SMA50,30,98,0.02590382548015721,-0.0576142952658443,0.9289752335893475,0.010993108582537036,0.07315539281707192,0.003915052614312934,False,Russell 2000
B9_Collapse_SMA50,60,98,0.029116209294546107,-0.09272908550225543,0.6453817980481705,0.021730947087333752,0.43663205842773495,0.9152432041588161,False,Russell 2000
B9_Collapse_SMA50,90,98,0.05400541421090159,-0.11381687740845255,0.7996093283910519,0.031998262689338,0.059760758810483906,0.1553846641208228,False,Russell 2000
B9_Collapse_SMA200,30,31,0.02603279131953818,-0.0887880041028612,1.2973247849064093,0.011872948475968544,0.18648955211201487,0.10197267719433012,False,S&P 500
B9_Collapse_SMA200,60,31,0.06688691414557787,-0.11056449035161725,2.6501754003980382,0.02374344520785139,6.575006571191982e-05,0.00030878069823403296,True,S&P 500
B9_Collapse_SMA200,90,31,0.10311682740081143,-0.11701503385577837,2.595746350266275,0.03529331256112084,3.465348615281385e-06,1.0242372476759757e-05,True,S&P 500
B9_Collapse_SMA200,30,71,0.022355778053755892,-0.07724819153698279,1.024599407470265,0.01032190307332623,0.11506563576899222,0.17762836568585583,False,Dow Jones
