time,open,high,low,close,EMA,EMA,EMA,EMA
2007-01-23,2.79,4.926,0.992,1.74,,,,
2007-01-24,1.108,3.707,1.108,1.694,,,,
2007-01-25,1.215,2.849,0.44,2.472,,,,
2007-01-26,0.375,2.08,0.266,1.503,,,,
2007-01-29,1.54,12.547,0.955,2.551,,,,
2007-01-30,0.153,3.457,0.153,2.1,,,,
2007-01-31,4.138,4.138,0.987,1.414,,,,
2007-02-01,1.862,1.862,0.614,1.595,,,,
2007-02-02,1.835,2.769,0.83,1.398,,,,
2007-02-05,1.597,5.517,0.702,1.937,,,,
2007-02-06,0.838,9.173,0.693,2.142,,,,
2007-02-07,3.067,3.067,0.785,1.476,,,,
2007-02-08,3.067,3.067,0.294,1.729,,,,
2007-02-09,0.624,1.465,0.527,1.46,,,,
2007-02-12,6.585,6.585,0.936,2.017,,,,
2007-02-13,0.503,1.732,0.464,1.345,,,,
2007-02-14,4.501,4.501,1.228,1.237,,,,
2007-02-15,0.896,1.515,0.516,1.113,,,,
2007-02-16,0.901,3.419,0.527,1.72,,,,
2007-02-20,2.093,2.519,0.322,1.515,,1.7079,,
2007-02-21,5.309,5.309,1.722,2.17,,1.7519095238095237,,
2007-02-22,0.308,2.716,0.308,1.972,,1.77287052154195,,
2007-02-23,1.132,4.288,0.457,4.005,,1.9854542813950975,,
2007-02-26,0.769,2.086,0.357,1.955,,1.9825538736431834,,
2007-02-27,0.769,3.083,0.065,2.198,,2.0030725523438324,,
2007-02-28,0.769,3.083,0.065,1.416,,1.9471608806920389,,
2007-03-01,1.381,3.002,0.963,2.397,,1.9900027015785113,,
2007-03-02,1.451,2.573,1.264,1.635,,1.956192920475796,,
2007-03-05,1.451,2.573,1.264,1.635,,1.92560311852572,,
2007-03-06,1.451,2.573,1.264,1.635,,1.8979266310470801,,
2007-03-07,1.451,2.573,1.264,1.635,,1.8728859995187868,,
2007-03-08,1.451,2.573,1.264,1.635,,1.8502301900408071,,
2007-03-09,2.057,2.203,1.003,1.604,,1.8267796957512064,,
2007-03-12,0.401,2.451,0.401,1.568,,1.8021340104415677,,
2007-03-13,1.123,2.171,1.123,2.134,,1.8337402951614183,,
2007-03-14,1.123,3.245,1.123,2.46,,1.8933840765746166,,
2007-03-15,0.672,2.13,0.672,1.493,,1.8552522597579864,,
2007-03-16,2.376,2.555,0.98,2.064,,1.8751329969238923,,
2007-03-19,0.339,1.755,0.339,1.228,,1.8135012829311408,,
2007-03-20,1.993,3,0.671,1.394,,1.7735487797948417,,
2007-03-21,4.008,4.096,1.736,1.736,,1.7699727055286663,,
2007-03-22,1.04,3.727,0.578,1.357,,1.7306419716687933,,
2007-03-23,4.12,4.12,0.922,1.517,,1.7102951172241463,,
2007-03-26,1.484,2.282,1.067,1.542,,1.6942670108218467,,
2007-03-27,1.309,3.3,1.27,2.068,,1.7298606288388136,,
2007-03-28,1.466,3.953,1.466,2.411,,1.794731045139879,,
2007-03-29,0.782,3.989,0.782,1.963,,1.810756659888462,,
2007-03-30,2.092,2.481,0.823,2.405,,1.8673512637086083,,
2007-04-02,2.776,2.776,0.556,1.316,,1.8148416195458836,,
2007-04-03,0.801,2.996,0.474,2.116,,1.8435233700653233,1.8164399999999992,
2007-04-04,1.877,2.139,0.836,1.904,,1.8492830491067211,1.8198737254901953,
2007-04-05,1.683,4.247,0.549,1.285,,1.7955418063346524,1.7988982852748936,
2007-04-09,1.239,1.503,0.756,1.305,,1.7488235390646856,1.779529725068035,
2007-04-10,2.576,4.643,0.897,2.349,,1.8059832020109061,1.801861892712426,
2007-04-11,18.379,18.379,0.745,1.573,,1.783794325628915,1.7928869165276249,
2007-04-12,2.988,4.131,1.467,1.794,,1.7847662946166374,1.792930566859875,
2007-04-13,2.052,2.419,0.959,1.591,,1.7663123617960053,1.7850117211006642,
2007-04-16,1.595,1.904,0.78,1.255,,1.7176159463868619,1.7642269477241677,
2007-04-17,1.595,1.904,0.114,1.255,,1.6735572848262084,1.7442572634996905,
2007-04-18,2.991,2.991,1.243,1.313,,1.639218495795141,1.727345213950683,
2007-04-19,1.57,3.383,1.472,1.476,,1.6236738771479846,1.7174885388937935,
2007-04-20,0.911,2.015,0.791,1.287,,1.591609698371986,1.7006066354077625,
2007-04-23,0.643,1.761,0.555,1.754,,1.607075441384178,1.7027004928427523,
2007-04-24,5.884,5.884,0.739,2.515,,1.6935444469666372,1.7345553754763698,
2007-04-25,0.765,2.99,0.765,1.288,,1.654921166303148,1.7170433999674926,
2007-04-26,0.924,3.027,0.924,1.409,,1.6315001028457052,1.704963266635434,
2007-04-27,2.536,5.462,2.165,2.871,,1.7495477120984952,1.750690197355613,
2007-04-30,1.085,5.967,1.007,1.7,,1.744828882374829,1.7487023464789224,
2007-05-01,0.894,3.605,0.772,2.152,,1.7836070840534168,1.764517940734651,
2007-05-02,0.916,2.349,0.851,1.374,,1.744596885572139,1.7492035116862332,
2007-05-03,1.828,4.592,1.297,1.458,,1.7173019440890782,1.7377837661299103,
2007-05-04,1.482,2.049,0.994,1.739,,1.7193684256044042,1.7378314615757962,
2007-05-07,3.314,3.314,1.146,1.785,,1.725619051737318,1.739681208180667,
2007-05-08,0.501,3.75,0.501,2.27,,1.7774648563337638,1.760478023546131,
2007-05-09,1.193,2.267,0.401,1.069,,1.7099920128734054,1.7333612383090278,
2007-05-10,0.76,2.78,0.76,2.024,,1.7398975354568906,1.744758836806713,
2007-05-11,1.296,1.753,0.829,1.538,,1.7206691987467106,1.7366506471280185,
