time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,781.45,781.45,781.45,781.45,,,,
2007-10-01,1866.36,1866.36,1866.36,1866.36,,,,
2007-10-02,1210.68,1210.68,1210.68,1210.68,,,,
2007-10-03,838.02,838.02,838.02,838.02,,,,
2007-10-04,1060.26,1060.26,1060.26,1060.26,,,,
2007-10-05,1951.2,1951.2,1951.2,1951.2,,,,
2007-10-08,618.18,618.18,618.18,618.18,,,,
2007-10-09,1424.69,1424.69,1424.69,1424.69,,,,
2007-10-10,1041.84,1041.84,1041.84,1041.84,,,,
2007-10-11,504.83,504.83,504.83,504.83,,,,
2007-10-12,1488.06,1488.06,1488.06,1488.06,,,,
2007-10-15,604.73,604.73,604.73,604.73,,,,
2007-10-16,778.35,778.35,778.35,778.35,,,,
2007-10-17,2336.1,2336.1,2336.1,2336.1,,,,
2007-10-18,1229.98,1229.98,1229.98,1229.98,,,,
2007-10-19,219.41,219.41,219.41,219.41,,,,
2007-10-22,2032.94,2032.94,2032.94,2032.94,,,,
2007-10-23,1909.88,1909.88,1909.88,1909.88,,,,
2007-10-24,990.78,990.78,990.78,990.78,,,,
2007-10-25,1624.5,1624.5,1624.5,1624.5,,1225.612,,
2007-10-26,2451.69,2451.69,2451.69,2451.69,,1342.3813333333335,,
2007-10-29,1373.45,1373.45,1373.45,1373.45,,1345.340253968254,,
2007-10-30,976.94,976.94,976.94,976.94,,1310.254515495087,,
2007-10-31,2700.19,2700.19,2700.19,2700.19,,1442.629323543174,,
2007-11-01,568.2,568.2,568.2,568.2,,1359.350340348586,,
2007-11-02,2111.36,2111.36,2111.36,2111.36,,1430.9703079344351,,
2007-11-05,860.81,860.81,860.81,860.81,,1376.6693262263937,,
2007-11-06,1745.6,1745.6,1745.6,1745.6,,1411.805580871499,,
2007-11-07,253.65,253.65,253.65,253.65,,1301.5050493599276,,
2007-11-08,975,975,975,975,,1270.409330373268,,
2007-11-09,787.39,787.39,787.39,787.39,,1224.4074893853376,,
2007-11-12,851.71,851.71,851.71,851.71,,1188.912490396258,,
2007-11-13,2984.21,2984.21,2984.21,2984.21,,1359.8932055966143,,
2007-11-14,1018.43,1018.43,1018.43,1018.43,,1327.3729003016986,,
2007-11-15,757.69,757.69,757.69,757.69,,1273.117385987251,,
2007-11-16,2139.87,2139.87,2139.87,2139.87,,1355.6652539884653,,
2007-11-19,459.81,459.81,459.81,459.81,,1270.3457059895638,,
2007-11-20,1856.28,1856.28,1856.28,1856.28,,1326.1489720857958,,
2007-11-21,561.11,561.11,561.11,561.11,,1253.2881176014344,,
2007-11-23,894,894,894,894,,1219.070201639393,,
2007-11-26,372.72,372.72,372.72,372.72,,1138.4654205308793,,
2007-11-27,2494.55,2494.55,2494.55,2494.55,,1267.6163328612718,,
2007-11-28,2950.92,2950.92,2950.92,2950.92,,1427.9309678268648,,
2007-11-29,1384.48,1384.48,1384.48,1384.48,,1423.7927804147826,,
2007-11-30,1906.66,1906.66,1906.66,1906.66,,1469.7801346609938,,
2007-12-03,710.26,710.26,710.26,710.26,,1397.444883740899,,
2007-12-04,704.01,704.01,704.01,704.01,,1331.4034662417657,,
2007-12-05,2094.4,2094.4,2094.4,2094.4,,1404.069802790169,,
2007-12-06,1948.92,1948.92,1948.92,1948.92,,1455.9602977625339,,
2007-12-07,879.07,879.07,879.07,879.07,,1401.0183646422925,1325.7124,
2007-12-10,1419.82,1419.82,1419.82,1419.82,,1402.8089965811218,1329.4028941176468,
2007-12-11,394.85,394.85,394.85,394.85,,1306.8129016686341,1292.753761014994,
2007-12-12,2036.21,2036.21,2036.21,2036.21,,1376.279291985907,1321.908907641857,
2007-12-13,956.92,956.92,956.92,956.92,,1336.340311796773,1307.595617146098,
2007-12-14,683.39,683.39,683.39,683.39,,1274.1545678161278,1283.1169654933099,
2007-12-17,304.39,304.39,304.39,304.39,,1181.7960375479252,1244.7355158661212,
2007-12-18,1884.19,1884.19,1884.19,1884.19,,1248.6907006385989,1269.812162302744,
2007-12-19,998.15,998.15,998.15,998.15,,1224.8296815301608,1259.1587441732245,
2007-12-20,1805.37,1805.37,1805.37,1805.37,,1280.1192356701454,1280.5787934213333,
2007-12-21,2520.24,2520.24,2520.24,2520.24,,1398.2259751301315,1329.1929583852027,
2007-12-24,735.12,735.12,735.12,735.12,,1335.073025117738,1305.8959796249987,
2007-12-26,880.6,880.6,880.6,880.6,,1291.7898798684298,1289.2177059142145,
2007-12-27,210.06,210.06,210.06,210.06,,1188.767986547627,1246.897795878363,
2007-12-28,571.25,571.25,571.25,571.25,,1129.9567497335674,1220.4018038831332,
2007-12-31,428.68,428.68,428.68,428.68,,1063.16848785418,1189.3538900053634,
2008-01-02,532.83,532.83,532.83,532.83,,1012.6600604394962,1163.6078551031924,
2008-01-03,784.96,784.96,784.96,784.96,,990.9743403976394,1148.7589196089496,
2008-01-04,157.1,157.1,157.1,157.1,,911.5577365502452,1109.8703345262456,
2008-01-07,1391.35,1391.35,1391.35,1391.35,,957.2522378311742,1120.9087527801184,
2008-01-08,626.9,626.9,626.9,626.9,,925.790119942491,1101.5358605142314,
2008-01-09,2350.46,2350.46,2350.46,2350.46,,1061.4729656622537,1150.5132777489675,
2008-01-10,2494.73,2494.73,2494.73,2494.73,,1197.973635599182,1203.227659013714,
2008-01-11,638.41,638.41,638.41,638.41,,1144.6818607802122,1181.077946895529,
2008-01-14,2077.36,2077.36,2077.36,2077.36,,1233.508350229716,1216.2262627035475,
2008-01-15,335.89,335.89,335.89,335.89,,1148.0208883030764,1181.7032720092907,
2008-01-16,1606.36,1606.36,1606.36,1606.36,,1191.6722322742119,1198.356477028534,
2008-01-17,705.66,705.66,705.66,705.66,,1145.3853530100012,1179.035046556827,
2008-01-18,1333.55,1333.55,1333.55,1333.55,,1163.3057955804773,1185.094456495775,
2008-01-23,3808.05,3808.05,3808.05,3808.05,,1415.1861960013841,1287.955458201823,
2008-01-24,2926.84,2926.84,2926.84,2926.84,,1559.1532249536333,1352.225440233124,
2008-01-25,861.89,861.89,861.89,861.89,,1492.7472035294777,1332.996599439668,
2008-01-28,1937.55,1937.55,1937.55,1937.55,,1535.1093746219085,1356.70457593223,
2008-01-29,2086.82,2086.82,2086.82,2086.82,,1587.6532437055362,1385.3365533466524,
2008-01-30,1213.87,1213.87,1213.87,1213.87,,1552.0548395431042,1378.6123747840386,
2008-01-31,3119.87,3119.87,3119.87,3119.87,,1701.3705691104276,1446.8969875376056,
2008-02-01,4048.57,4048.57,4048.57,4048.57,,1924.9133720522916,1548.9233801831897,
2008-02-04,1121.51,1121.51,1121.51,1121.51,,1848.3987651901687,1532.162071156398,
2008-02-05,273.32,273.32,273.32,273.32,,1698.391263743486,1482.7957154247747,
2008-02-06,615.57,615.57,615.57,615.57,,1595.2654291012493,1448.7868638394893,
2008-02-07,2656.94,2656.94,2656.94,2656.94,,1696.3772929963684,1496.165418198725,
2008-02-08,1719.04,1719.04,1719.04,1719.04,,1698.5356460443334,1504.9055978772064,
2008-02-11,1866.07,1866.07,1866.07,1866.07,,1714.491298802016,1519.068907764375,
2008-02-12,1845.13,1845.13,1845.13,1845.13,,1726.9330798684907,1531.8556172638112,
2008-02-13,2840.78,2840.78,2840.78,2840.78,,1833.0137389286344,1583.18598521425,
2008-02-14,685.71,685.71,685.71,685.71,,1723.7467161735265,1547.9908485391813,
2008-02-15,754.37,754.37,754.37,754.37,,1631.425124157,1516.8684623219585,
2008-02-19,1026.16,1026.16,1026.16,1026.16,,1573.780826618238,1497.6249932112935,
2008-02-20,2052.26,2052.26,2052.26,2052.26,,1619.3502717022154,1519.37538563438,
2008-02-21,449.38,449.38,449.38,449.38,,1507.9245315400997,1477.414782276169,
2008-02-22,1770.93,1770.93,1770.93,1770.93,,1532.9726713934235,1488.9251829712211,1368.3104999999998
