time,open,high,low,close,EMA,EMA,EMA,EMA
2007-09-28,1389,1389,1389,1389,,,,
2007-10-01,552,552,552,552,,,,
2007-10-02,900,900,900,900,,,,
2007-10-03,1420,1420,1420,1420,,,,
2007-10-04,961,961,961,961,,,,
2007-10-05,513,513,513,513,,,,
2007-10-08,1310,1310,1310,1310,,,,
2007-10-09,873,873,873,873,,,,
2007-10-10,1151,1151,1151,1151,,,,
2007-10-11,1617,1617,1617,1617,,,,
2007-10-12,826,826,826,826,,,,
2007-10-15,1593,1593,1593,1593,,,,
2007-10-16,1466,1466,1466,1466,,,,
2007-10-17,1056,1056,1056,1056,,,,
2007-10-18,1144,1144,1144,1144,,,,
2007-10-19,1970,1970,1970,1970,,,,
2007-10-22,852,852,852,852,,,,
2007-10-23,817,817,817,817,,,,
2007-10-24,1475,1475,1475,1475,,,,
2007-10-25,1286,1286,1286,1286,,1158.55,,
2007-10-26,658,658,658,658,,1110.8785714285714,,
2007-10-29,1084,1084,1084,1084,,1108.3187074829932,,
2007-10-30,1431,1431,1431,1431,,1139.0502591512795,,
2007-10-31,700,700,700,700,,1097.2359487559195,,
2007-11-01,1932,1932,1932,1932,,1176.7372869696414,,
2007-11-02,1073,1073,1073,1073,,1166.8575453534852,,
2007-11-05,1570,1570,1570,1570,,1205.2520648436293,,
2007-11-06,863,863,863,863,,1172.656630096617,,
2007-11-07,1930,1930,1930,1930,,1244.7845700874154,,
2007-11-08,1132,1132,1132,1132,,1234.0431824600425,,
2007-11-09,1532,1532,1532,1532,,1262.4200222257527,,
2007-11-12,1343,1343,1343,1343,,1270.0943058233001,,
2007-11-13,558,558,558,558,,1202.2758005067953,,
2007-11-14,1363,1363,1363,1363,,1217.582867125196,,
2007-11-15,1698,1698,1698,1698,,1263.3368797799392,,
2007-11-16,1179,1179,1179,1179,,1255.3047959913736,,
2007-11-19,1873,1873,1873,1873,,1314.1329106588619,,
2007-11-20,1308,1308,1308,1308,,1313.5488239294464,,
2007-11-21,1602,1602,1602,1602,,1341.0203645075944,,
2007-11-23,472,472,472,472,,1258.2565202687758,,
2007-11-26,1733,1733,1733,1733,,1303.4701850050828,,
2007-11-27,880,880,880,880,,1263.1396911950749,,
2007-11-28,396,396,396,396,,1180.5549587003059,,
2007-11-29,1258,1258,1258,1258,,1187.9306769193242,,
2007-11-30,948,948,948,948,,1165.080136260341,,
2007-12-03,1511,1511,1511,1511,,1198.0248851879276,,
2007-12-04,1495,1495,1495,1495,,1226.308229455744,,
2007-12-05,651,651,651,651,,1171.5169695075779,,
2007-12-06,531,531,531,531,,1110.515353363999,,
2007-12-07,1152,1152,1152,1152,,1114.4662720912372,1180.54,
2007-12-10,952,952,952,952,,1098.9932937968338,1171.5776470588235,
2007-12-11,1847,1847,1847,1847,,1170.2320277209449,1198.0647981545558,
2007-12-12,1059,1059,1059,1059,,1159.638501271331,1192.6112766582987,
2007-12-13,1330,1330,1330,1330,,1175.8634059121566,1197.9990697305223,
2007-12-14,1691,1691,1691,1691,,1224.9240339205226,1217.3324395450115,
2007-12-17,1813,1813,1813,1813,,1280.9312687852348,1240.691951719717,
2007-12-18,836,836,836,836,,1238.55686223426,1224.8216791032576,
2007-12-19,1138,1138,1138,1138,,1228.9800182119495,1221.416907373718,
2007-12-20,815,815,815,815,,1189.5533498108116,1205.4789894374937,
2007-12-21,602,602,602,602,,1133.5958879240677,1181.8131467144547,
2007-12-24,722,722,722,722,,1094.396279550347,1163.7812586080054,
2007-12-26,993,993,993,993,,1084.7394910217424,1157.083954348868,
2007-12-27,1822,1822,1822,1822,,1154.9547775911003,1183.1590933940104,
2007-12-28,1297,1297,1297,1297,,1168.4828940109956,1187.6234426726767,
2007-12-31,1266,1266,1266,1266,,1177.7702374385199,1190.697033156101,
2008-01-02,1570,1570,1570,1570,,1215.1254529205655,1205.571659306842,
2008-01-03,1433,1433,1433,1433,,1235.8754097852736,1214.4904177653973,
2008-01-04,1928,1928,1928,1928,,1301.7920374247715,1242.471185696166,
2008-01-07,1123,1123,1123,1123,,1284.764224336698,1237.7860411590614,
2008-01-08,1674,1674,1674,1674,,1321.8342982093934,1254.8924709175296,
2008-01-09,1057,1057,1057,1057,,1296.611984094213,1247.1319818619402,
2008-01-10,844,844,844,844,,1253.506080847145,1231.322884534021,
2008-01-11,1686,1686,1686,1686,,1294.6959779093218,1249.1533596503339,
2008-01-14,838,838,838,838,,1251.2011228703386,1233.0296984875756,
2008-01-15,1770,1770,1770,1770,,1300.61053973983,1254.0873573704157,
2008-01-16,1046,1046,1046,1046,,1276.3619169074652,1245.9270688460856,
2008-01-17,1830,1830,1830,1830,,1329.0893533924686,1268.831889675651,
2008-01-18,1496,1496,1496,1496,,1344.9856054503289,1277.7404430217039,
2008-01-23,801,801,801,801,,1293.1774525502976,1259.0447393737938,
2008-01-24,997,997,997,997,,1264.9700761169358,1248.7684750846254,
2008-01-25,1265,1265,1265,1265,,1264.972926010561,1249.4050054734637,
2008-01-28,700,700,700,700,,1211.1659806762218,1227.859711141171,
2008-01-29,943,943,943,943,,1185.6263634689626,1216.6887420768112,
2008-01-30,1357,1357,1357,1357,,1201.9476621862043,1222.1911443483089,
2008-01-31,663,663,663,663,,1150.6193134065659,1200.2620798640614,
2008-02-01,648,648,648,648,,1102.7508073678453,1178.6047433988042,
2008-02-04,1335,1335,1335,1335,,1124.869778094717,1184.7378907164982,
2008-02-05,1806,1806,1806,1806,,1189.7393230380774,1209.1011106884002,
2008-02-06,1478,1478,1478,1478,,1217.1927208439747,1219.6461651712082,
2008-02-07,841,841,841,841,,1181.364842668358,1204.797295948808,
2008-02-08,1314,1314,1314,1314,,1193.9967624142287,1209.0797549312076,
2008-02-11,1068,1068,1068,1068,,1181.9970707557306,1203.5472155221407,
2008-02-12,919,919,919,919,,1156.9497306837563,1192.388501187939,
2008-02-13,583,583,583,583,,1102.2878515710177,1168.490912906059,
2008-02-14,1712,1712,1712,1712,,1160.3556752309207,1189.8049947528802,
2008-02-15,1427,1427,1427,1427,,1185.750372827976,1199.106759664532,
2008-02-19,1152,1152,1152,1152,,1182.536051606264,1197.259435756119,
2008-02-20,896,896,896,896,,1155.2469038342388,1185.4453402362712,
2008-02-21,1642,1642,1642,1642,,1201.6043415643112,1203.3494445407312,
2008-02-22,1173,1173,1173,1173,,1198.8801185581863,1202.1592702450162,1202.25
2008-02-25,644,644,644,644,,1146.0343929812161,1180.2706714118783,1191.1955445544554
2008-02-26,752,752,752,752,,1108.507307935386,1163.4757431212165,1182.4986030781295
2008-02-27,1197,1197,1197,1197,,1116.9351833701112,1164.7904198615608,1182.78575945282
2008-02-28,1611,1611,1611,1611,,1163.9889754301007,1182.2888347689507,1191.2652493646453
