Date,Adj Close,Close,High,Low,Open,Volume
2009-09-16,28.86,28.86,29.32,28.66,28.89,0
2009-09-17,29.6,29.6,30.13,28.74,29.11,0
2009-09-18,30.24,30.24,30.48,29.5,29.6,0
2009-09-21,29.92,29.92,32.16,29.89,32.09,0
2009-09-22,29.09,29.09,29.93,28.96,29.48,0
2009-09-23,29.38,29.38,29.63,28.29,29.2,0
2009-09-24,31.37,31.37,31.81,29.26,29.4,0
2009-09-25,31.01,31.01,33.76,30.93,31.47,0
2009-09-28,30.89,30.89,31.96,30.68,31.82,0
2009-09-29,31.44,31.44,31.61,30.61,30.89,0
2009-09-30,32.79,32.79,32.97,31.05,31.45,0
2009-10-01,35.18,35.18,35.48,33.06,33.11,0
2009-10-02,34.81,34.81,36.71,34.58,36.32,0
2009-10-05,33.3,33.3,35.84,32.98,35.67,0
2009-10-06,31.79,31.79,33.16,31.44,33.05,0
2009-10-07,31.17,31.17,32.2,31.15,32.18,0
2009-10-08,30.52,30.52,31.17,29.99,31.17,0
2009-10-09,29.34,29.34,30.77,29.17,30.69,0
2009-10-12,29.67,29.67,30.07,28.73,29.34,0
2009-10-13,28.62,28.62,30.79,28.62,29.69,0
2009-10-14,28.42,28.42,28.42,27.65,28.09,0
2009-10-15,27.29,27.29,29.01,27.29,28.67,0
2009-10-16,26.9,26.9,28.56,26.54,27.29,0
2009-10-19,27.38,27.38,28.34,26.84,26.85,0
2009-10-20,26.98,26.98,28.26,26.91,27.01,0
2009-10-21,29.32,29.32,30.87,26.23,26.98,0
2009-10-22,27.58,27.58,29.62,27.18,29.33,0
2009-10-23,29.06,29.06,29.56,27.21,27.56,0
2009-10-26,31.06,31.06,31.87,29.21,30.11,0
2009-10-27,31.68,31.68,33.36,30.96,31.24,0
2009-10-28,35.55,35.55,35.56,31.68,31.68,0
2009-10-29,32.56,32.56,34.51,32.04,34.51,0
2009-10-30,36.74,36.74,38.27,32.56,32.56,0
2009-11-02,37.35,37.35,38.91,35.22,36.7,0
2009-11-03,35.61,35.61,38.18,35.54,37.98,0
2009-11-04,35.67,35.67,36.14,33.96,35.61,0
2009-11-05,33.45,33.45,35.35,33.31,35.2,0
2009-11-06,32.18,32.18,34.35,32.14,34.17,0
2009-11-09,31.16,31.16,32.31,31.13,32.18,0
2009-11-10,30.95,30.95,31.86,30.78,31.15,0
2009-11-11,30.61,30.61,31.63,30.32,30.95,0
2009-11-12,32.24,32.24,32.62,30.27,30.61,0
2009-11-13,30.64,30.64,33.99,30.64,31.97,0
2009-11-16,30.54,30.54,31.38,30.17,30.64,0
2009-11-17,29.73,29.73,30.88,29.5,30.75,0
2009-11-18,29.42,29.42,30.39,29.27,29.84,0
2009-11-19,30.84,30.84,31.99,29.42,29.42,0
2009-11-20,30.11,30.11,31.51,30.02,31.5,0
2009-11-23,29.25,29.25,30.04,28.56,30.04,0
2009-11-24,28.45,28.45,30.26,28.34,29.44,0
2009-11-25,28.6,28.6,28.72,27.91,27.91,0
2009-11-27,33.4,33.4,34.33,31.64,34.33,0
2009-11-30,32.8,32.8,34.99,32.53,34.48,0
2009-12-01,30.7,30.7,32.8,30.22,32.8,0
2009-12-02,29.53,29.53,30.65,29.18,30.65,0
2009-12-03,31.3,31.3,31.37,28.88,29.5,0
2009-12-04,29.82,29.82,30.91,28.83,29.51,0
2009-12-07,30.26,30.26,31.02,30.1,31.02,0
2009-12-08,31.2,31.2,32.23,30.8,31.45,0
2009-12-09,30.21,30.21,32.05,30.18,31.24,0
2009-12-10,30.0,30.0,30.32,29.33,30.21,0
2009-12-11,28.78,28.78,29.91,28.78,29.51,0
2009-12-14,27.91,27.91,29.48,27.89,28.78,0
2009-12-15,27.64,27.64,28.37,27.43,28.22,0
2009-12-16,27.02,27.02,27.63,26.79,27.63,0
2009-12-17,27.52,27.52,28.31,27.31,27.9,0
2009-12-18,27.1,27.1,28.02,26.71,26.95,0
2009-12-21,26.25,26.25,27.64,26.19,27.54,0
2009-12-22,25.23,25.23,26.53,25.19,26.25,0
2009-12-23,25.13,25.13,25.79,24.46,25.23,0
2009-12-24,24.6,24.6,25.18,24.56,24.97,0
2009-12-28,26.19,26.19,26.52,25.97,25.97,0
2009-12-29,26.17,26.17,26.28,25.86,26.08,0
2009-12-30,26.59,26.59,27.21,23.87,26.49,0
2009-12-31,28.15,28.15,28.53,26.39,26.59,0
2010-01-04,26.55,26.55,28.42,26.43,28.15,0
2010-01-05,26.66,26.66,28.14,26.16,26.75,0
2010-01-06,25.64,25.64,26.64,25.48,26.64,0
2010-01-07,24.82,24.82,26.52,24.77,25.9,0
2010-01-08,23.55,23.55,25.14,23.42,25.11,0
2010-01-11,22.6,22.6,22.85,21.66,21.78,0
2010-01-12,23.06,23.06,23.91,22.94,23.16,0
2010-01-13,22.24,22.24,23.61,21.81,23.15,0
2010-01-14,21.45,21.45,22.74,21.13,22.74,0
2010-01-15,22.21,22.21,23.15,21.4,21.45,0
2010-01-19,22.25,22.25,23.68,22.06,23.68,0
2010-01-20,23.47,23.47,24.96,23.14,23.14,0
2010-01-21,25.95,25.95,26.09,22.92,23.43,0
2010-01-22,30.89,30.89,31.29,25.75,25.95,0
2010-01-25,28.96,28.96,31.12,28.77,30.85,0
2010-01-26,27.97,27.97,29.89,26.29,29.47,0
2010-01-27,26.39,26.39,28.76,26.21,28.76,0
2010-01-28,27.34,27.34,29.05,25.92,25.97,0
2010-01-29,28.03,28.03,28.47,25.42,27.34,0
2010-02-01,26.76,26.76,28.21,26.69,28.05,0
2010-02-02,25.52,25.52,27.01,25.4,26.76,0
2010-02-03,25.38,25.38,26.33,24.9,25.84,0
2010-02-04,29.04,29.04,29.17,26.68,26.68,0
2010-02-05,29.51,29.51,32.01,28.64,28.75,0
2010-02-08,30.44,30.44,30.74,29.26,29.51,0
2010-02-09,29.62,29.62,30.56,28.78,30.47,0
2010-02-10,28.89,28.89,30.85,28.61,30.04,0
2010-02-11,26.59,26.59,29.73,26.48,29.36,0
2010-02-12,25.66,25.66,27.91,25.56,26.6,0
2010-02-16,25.37,25.37,26.56,25.18,26.24,0
2010-02-17,23.96,23.96,25.37,23.85,25.37,0
2010-02-18,23.55,23.55,24.53,23.29,23.85,0
2010-02-19,23.6,23.6,24.22,22.78,23.98,0
2010-02-22,23.54,23.54,24.28,23.19,23.79,0
2010-02-23,24.85,24.85,25.81,23.77,23.83,0
2010-02-24,24.29,24.29,25.19,23.83,24.76,0
2010-02-25,23.58,23.58,26.41,23.56,26.14,0
2010-02-26,22.61,22.61,24.21,22.61,23.45,0
2010-03-01,22.09,22.09,22.83,21.9,22.83,0
2010-03-02,22.43,22.43,22.53,21.48,21.77,0
2010-03-03,22.36,22.36,22.98,22.08,22.35,0
2010-03-04,21.65,21.65,22.87,21.65,22.33,0
2010-03-05,20.43,20.43,21.32,20.31,21.17,0
2010-03-08,21.23,21.23,21.66,21.09,21.27,0
2010-03-09,21.8,21.8,22.12,21.28,21.68,0
2010-03-10,22.31,22.31,23.0,21.32,21.66,0
2010-03-11,22.18,22.18,23.34,22.06,22.73,0
2010-03-12,21.65,21.65,23.26,21.61,22.11,0
2010-03-15,22.33,22.33,23.47,22.3,22.64,0
2010-03-16,21.61,21.61,22.79,21.48,22.32,0
2010-03-17,21.48,21.48,21.64,21.09,21.51,0
2010-03-18,21.71,21.71,21.93,21.28,21.65,0
2010-03-19,22.5,22.5,23.16,21.35,21.46,0
2010-03-22,22.0,22.0,24.34,21.86,24.29,0
2010-03-23,21.34,21.34,22.17,20.97,21.97,0
2010-03-24,22.28,22.28,22.57,21.78,21.85,0
2010-03-25,23.81,23.81,23.94,21.4,21.86,0
2010-03-26,23.43,23.43,24.1,22.93,23.37,0
2010-03-29,22.74,22.74,24.15,22.73,24.01,0
2010-03-30,22.17,22.17,23.16,22.1,22.5,0
2010-03-31,22.76,22.76,22.96,21.99,22.44,0
2010-04-01,22.95,22.95,23.19,21.9,22.33,0
2010-04-05,21.5,21.5,23.54,21.49,23.44,0
2010-04-06,21.28,21.28,21.92,20.39,21.8,0
2010-04-07,21.58,21.58,22.05,20.73,21.64,0
2010-04-08,21.69,21.69,22.76,21.31,22.01,0
2010-04-09,21.18,21.18,22.08,21.06,21.71,0
2010-04-12,20.89,20.89,21.11,20.18,20.53,0
2010-04-13,20.7,20.7,21.75,20.55,20.93,0
2010-04-14,20.14,20.14,20.55,19.9,20.24,0
2010-04-15,20.55,20.55,21.31,20.18,20.24,0
2010-04-16,21.97,21.97,23.38,20.37,20.68,0
2010-04-19,22.56,22.56,24.84,22.56,23.7,0
2010-04-20,20.5,20.5,22.34,20.49,22.1,0
2010-04-21,20.66,20.66,21.26,20.28,20.8,0
2010-04-22,21.63,21.63,22.55,20.87,21.75,0
2010-04-23,21.06,21.06,21.77,20.9,21.32,0
2010-04-26,22.73,22.73,22.94,21.59,21.94,0
2010-04-27,26.43,26.43,26.48,22.91,23.27,0
2010-04-28,25.94,25.94,27.03,25.29,25.7,0
2010-04-29,23.93,23.93,25.49,23.45,25.37,0
2010-04-30,28.34,28.34,28.91,23.94,24.06,0
2010-05-03,27.12,27.12,28.7,27.02,28.7,0
2010-05-04,31.6,31.6,32.86,29.33,29.33,0
2010-05-05,32.52,32.52,35.25,30.27,33.53,0
2010-05-06,36.37,36.37,45.33,30.92,33.28,0
2010-05-07,45.83,45.83,46.67,35.98,36.16,0
2010-05-10,35.64,35.64,36.82,34.92,35.19,0
2010-05-11,35.2,35.2,37.93,33.19,37.77,0
2010-05-12,32.17,32.17,33.89,31.19,33.89,0
2010-05-13,33.64,33.64,34.08,31.15,32.18,0
2010-05-14,36.74,36.74,39.76,35.28,35.39,0
2010-05-17,37.62,37.62,42.98,36.07,36.83,0
2010-05-18,41.77,41.77,43.16,35.23,36.01,0
2010-05-19,43.7,43.7,47.88,41.94,43.22,0
2010-05-20,53.88,53.88,55.16,48.56,50.08,0
2010-05-21,49.06,49.06,55.85,46.34,55.41,0
2010-05-24,46.46,46.46,50.04,43.37,50.04,0
2010-05-25,43.42,43.42,53.61,42.86,52.22,0
2010-05-26,43.22,43.22,43.57,36.3,41.62,0
2010-05-27,36.7,36.7,38.81,36.54,38.19,0
2010-05-28,38.49,38.49,40.35,36.35,36.93,0
2010-06-01,44.55,44.55,44.55,39.79,41.57,0
2010-06-02,39.62,39.62,44.33,39.47,43.45,0
2010-06-03,38.12,38.12,39.51,37.8,39.11,0
2010-06-04,43.67,43.67,45.39,40.85,42.52,0
2010-06-07,47.42,47.42,47.46,44.13,44.26,0
2010-06-08,44.15,44.15,48.21,43.94,47.1,0
2010-06-09,43.31,43.31,43.73,39.98,42.61,0
2010-06-10,39.49,39.49,41.86,39.15,41.86,0
2010-06-11,37.15,37.15,40.91,36.82,40.91,0
2010-06-14,36.7,36.7,37.07,35.48,36.55,0
2010-06-15,34.51,34.51,36.06,33.82,36.01,0
2010-06-16,33.94,33.94,35.59,33.55,35.59,0
2010-06-17,33.59,33.59,35.67,33.54,33.6,0
2010-06-18,32.24,32.24,33.58,31.76,33.51,0
2010-06-21,33.2,33.2,34.45,31.03,31.29,0
2010-06-22,35.11,35.11,35.41,31.96,33.21,0
2010-06-23,34.59,34.59,36.83,33.72,35.32,0
2010-06-24,36.62,36.62,37.28,34.94,35.59,0
2010-06-25,34.8,34.8,37.3,34.63,36.43,0
2010-06-28,36.09,36.09,37.0,35.08,36.32,0
2010-06-29,41.28,41.28,41.87,38.46,38.46,0
2010-06-30,40.47,40.47,41.18,38.06,41.13,0
2010-07-01,39.61,39.61,43.46,39.49,40.35,0
2010-07-02,37.54,37.54,39.62,37.15,38.54,0
2010-07-06,39.26,39.26,40.41,35.91,36.67,0
2010-07-07,36.78,36.78,39.17,36.78,39.17,0
2010-07-08,35.03,35.03,37.25,35.03,36.17,0
2010-07-09,33.9,33.9,35.26,33.71,35.11,0
2010-07-12,35.42,35.42,36.87,33.89,34.57,0
2010-07-13,34.44,34.44,35.3,33.48,33.94,0
2010-07-14,35.36,35.36,36.31,34.54,35.03,0
2010-07-15,36.0,36.0,39.12,35.48,35.53,0
2010-07-16,36.91,36.91,39.11,36.79,36.89,0
2010-07-19,36.0,36.0,37.85,35.79,37.55,0
2010-07-20,33.35,33.35,38.02,33.35,37.62,0
2010-07-21,34.59,34.59,35.76,32.79,32.87,0
2010-07-22,33.71,33.71,34.02,32.41,33.25,0
2010-07-23,31.81,31.81,34.64,31.74,34.33,0
2010-07-26,32.1,32.1,32.87,31.24,32.69,0
2010-07-27,32.13,32.13,32.89,31.1,31.24,0
2010-07-28,33.24,33.24,33.92,32.44,32.71,0
2010-07-29,33.14,33.14,35.08,32.08,32.42,0
2010-07-30,32.28,32.28,35.1,32.18,35.07,0
2010-08-02,31.2,31.2,32.21,31.03,31.71,0
2010-08-03,31.66,31.66,32.39,30.32,31.52,0
2010-08-04,30.94,30.94,32.27,30.92,31.5,0
2010-08-05,31.73,31.73,32.32,31.3,31.8,0
2010-08-06,30.67,30.67,33.74,30.61,33.74,0
2010-08-09,30.57,30.57,31.88,30.46,31.21,0
2010-08-10,31.78,31.78,33.4,30.87,31.96,0
2010-08-11,34.42,34.42,35.31,34.23,34.97,0
2010-08-12,35.39,35.39,36.22,34.52,36.22,0
2010-08-13,35.6,35.6,36.14,34.86,35.7,0
2010-08-16,34.77,34.77,37.2,34.45,36.87,0
2010-08-17,32.96,32.96,33.98,32.18,33.7,0
2010-08-18,33.59,33.59,34.74,32.21,33.41,0
2010-08-19,35.44,35.44,35.87,33.39,33.62,0
2010-08-20,34.63,34.63,36.57,34.61,36.1,0
2010-08-23,35.23,35.23,35.48,33.99,35.02,0
2010-08-24,36.56,36.56,38.71,35.79,37.97,0
2010-08-25,35.35,35.35,37.81,35.07,37.66,0
2010-08-26,35.88,35.88,36.18,34.5,34.88,0
2010-08-27,32.88,32.88,36.73,32.87,34.85,0
2010-08-30,35.79,35.79,35.79,34.35,34.82,0
2010-08-31,35.47,35.47,36.39,34.72,35.92,0
2010-09-01,32.9,32.9,35.7,32.84,34.24,0
2010-09-02,31.58,31.58,33.45,31.58,33.25,0
2010-09-03,29.0,29.0,31.45,28.83,29.95,0
2010-09-07,31.97,31.97,32.2,31.19,31.19,0
2010-09-08,31.5,31.5,32.02,31.08,31.82,0
