time,open,high,low,close,EMA,EMA,EMA,EMA
2006-10-17,0.586,1.036,0.586,0.904,,,,
2006-10-18,3,3,0.957,0.974,,,,
2006-10-19,0.657,1.006,0.657,0.762,,,,
2006-10-20,0.58,0.849,0.454,0.801,,,,
2006-10-23,0.58,0.922,0.454,0.752,,,,
2006-10-24,0.58,1.355,0.454,1.159,,,,
2006-10-25,0.698,0.866,0.683,0.841,,,,
2006-10-26,0.661,1.012,0.6,0.789,,,,
2006-10-27,0.709,1.12,0.684,1.032,,,,
2006-10-30,0.888,0.915,0.773,0.818,,,,
2006-10-31,1,1.122,0.605,0.968,,,,
2006-11-01,0.584,0.913,0.584,0.913,,,,
2006-11-02,0.584,1.138,0.046,0.913,,,,
2006-11-03,0.976,1.139,0.045,0.933,,,,
2006-11-06,0.976,1.139,0.038,0.755,,,,
2006-11-07,0.976,1.139,0.038,0.785,,,,
2006-11-08,0.976,1.139,0.019,0.771,,,,
2006-11-09,0.976,1.139,0.019,0.839,,,,
2006-11-13,0.976,1.146,0.011,0.791,,,,
2006-11-14,0.976,1.146,0.011,0.812,,0.8656,,
2006-11-15,0.976,2.176,0.011,0.829,,0.8621142857142857,,
2006-11-16,0.667,0.886,0.278,0.779,,0.8541986394557823,,
2006-11-17,0.667,0.886,0.056,0.807,,0.849703530936184,,
2006-11-20,0.667,1.001,0.049,0.872,,0.851827004180357,,
2006-11-21,0.667,1.479,0.049,1.046,,0.8703196704488944,,
2006-11-22,0.667,1.479,0.049,0.885,,0.8717177970728092,,
2006-11-24,0.983,1.249,0.767,1.06,,0.8896494354468274,,
2006-11-27,0.857,1.29,0.594,1.275,,0.9263494892137962,,
2006-11-28,0.575,1.03,0.575,0.93,,0.9266971569077204,,
2006-11-29,0.484,0.941,0.458,0.669,,0.9021545705355565,,
2006-11-30,0.855,0.855,0.474,0.768,,0.8893779447702654,,
2006-12-01,0.377,0.952,0.37,0.912,,0.8915324262207164,,
2006-12-04,0.737,0.884,0.678,0.878,,0.8902436237235053,,
2006-12-05,0.577,0.84,0.521,0.761,,0.8779347071784096,,
2006-12-06,0.577,0.934,0.468,0.851,,0.875369496970942,,
2006-12-07,0.528,0.908,0.508,0.874,,0.8752390686879952,,
2006-12-08,0.486,0.88,0.478,0.78,,0.8661686811939004,,
2006-12-11,0.691,0.842,0.519,0.725,,0.8527240448897194,,
2006-12-12,0.645,3.813,0.63,0.966,,0.8635122310906985,,
2006-12-13,0.796,1.041,0.503,0.893,,0.8663205900344415,,
2006-12-14,0.712,0.906,0.562,0.641,,0.8448614862216376,,
2006-12-15,0.461,0.744,0.461,0.744,,0.8352556303910055,,
2006-12-18,0.692,1.22,0.655,1.132,,0.8635169989251954,,
2006-12-19,0.825,1.009,0.642,0.958,,0.8725153799799387,,
2006-12-20,2,2,0.73,0.848,,0.8701805818866112,,
2006-12-21,0.872,1.024,0.591,0.79,,0.8625443359926482,,
2006-12-22,0.859,1.368,0.747,1.101,,0.8852543992314437,,
2006-12-26,0.419,0.846,0.419,0.846,,0.8815158850189252,,
2006-12-27,0.808,0.834,0.68,0.772,,0.8710858007314085,,
2006-12-28,0.575,0.934,0.569,0.906,,0.8744109625665125,0.8722000000000001,
2006-12-29,0.575,1.148,0.519,0.881,,0.8750384899411304,0.8725450980392158,
2007-01-03,0.741,0.851,0.6,0.85,,0.872653871851499,0.8716609765474818,
2007-01-04,0.48,0.989,0.48,0.835,,0.8690677888180229,0.8702232911926786,
2007-01-05,0.559,1.007,0.559,0.901,,0.8721089517877351,0.8714302209498285,
2007-01-08,0.5,0.879,0.333,0.867,,0.8716223849508079,0.8712564867949333,
2007-01-09,0.711,0.83,0.587,0.781,,0.8629916816221596,0.8677170167245437,
2007-01-10,0.806,1,0.774,0.812,,0.8581353309914777,0.8655320356765224,
2007-01-11,0.706,0.721,0.424,0.72,,0.8449795851827655,0.8598248970225411,
2007-01-12,0.708,0.751,0.708,0.751,,0.8360291484986926,0.8555572540020493,
2007-01-16,0.597,1.114,0.585,0.914,,0.8434549438797695,0.8578491263941258,
2007-01-17,1.725,1.725,0.788,0.873,,0.8462687587483628,0.8584432783002385,
2007-01-18,0.894,0.987,0.686,0.908,,0.8521479245818521,0.8603866791512095,
2007-01-19,0.866,0.943,0.671,0.831,,0.8501338365264376,0.859234260360966,
2007-01-22,0.524,0.976,0.524,0.969,,0.8614544235239198,0.8635387991703398,
2007-01-23,0.68,1.07,0.643,0.917,,0.8667444784264036,0.8656353168499343,
2007-01-24,0.704,1.073,0.588,0.841,,0.8642926233381747,0.8646692259930742,
2007-01-25,0.65,1.273,0.579,1.203,,0.896550468734539,0.8779370994835418,
2007-01-26,0.667,1.025,0.434,0.961,,0.9026885193312496,0.881194468131246,
2007-01-29,0.671,1.51,0.587,0.992,,0.9111943746330353,0.8855397831064913,
2007-01-30,0.668,1.101,0.587,0.936,,0.9135568151441749,0.8875186151415309,
2007-01-31,0.632,0.797,0.498,0.792,,0.9019799756066345,0.883772787096765,
2007-02-01,0.639,0.851,0.622,0.851,,0.8971247398345741,0.882487579759637,
2007-02-02,0.564,1.059,0.528,0.971,,0.9041604788979479,0.8859586550631806,
2007-02-05,0.547,1.118,0.498,0.823,,0.8964309094790958,0.8834896881979578,
2007-02-06,0.515,0.966,0.508,0.859,,0.8928660609572772,0.8825293082686261,
2007-02-07,0.787,0.908,0.49,0.908,,0.8943073884851556,0.8835281589247584,
2007-02-08,0.787,0.985,0.49,0.844,,0.8895162086294265,0.8819780350453561,
2007-02-09,0.572,1.036,0.525,0.942,,0.8945146649504335,0.884331837592597,
2007-02-12,0.884,1.284,0.753,1.18,,0.9217037444789636,0.8959266674909265,
2007-02-13,0.73,1.018,0.656,0.967,,0.9260176735762052,0.8987138570010863,
2007-02-14,3.281,3.281,0.972,0.978,,0.9309683713308523,0.9018231175108476,
2007-02-15,0.644,0.921,0.555,0.758,,0.9144951931088664,0.8961829952555203,
2007-02-16,0.884,1.087,0.772,0.845,,0.9078766032889743,0.8941758189709901,
2007-02-20,0.64,1.227,0.604,0.956,,0.9124597839281197,0.8966002966584022,
2007-02-21,0.983,1.276,0.872,1.126,,0.9327969473635368,0.9055963634561119,
2007-02-22,0.7,1.261,0.618,1.033,,0.9423400952336761,0.9105925844970487,
