time,open,high,low,close,EMA,EMA,EMA,EMA
2006-12-29,32,32,32,32,,,,
2007-01-02,32,32,32,32,,,,
2007-01-03,33,33,33,33,,,,
2007-01-04,57,57,57,57,,,,
2007-01-05,46,46,46,46,,,,
2007-01-08,55,55,55,55,,,,
2007-01-09,60,60,60,60,,,,
2007-01-10,68,68,68,68,,,,
2007-01-11,78,78,78,78,,,,
2007-01-12,78,78,78,78,,,,
2007-01-15,78,78,78,78,,,,
2007-01-16,75,75,75,75,,,,
2007-01-17,72,72,72,72,,,,
2007-01-18,54,54,54,54,,,,
2007-01-19,54,54,54,54,,,,
2007-01-22,46,46,46,46,,,,
2007-01-23,45,45,45,45,,,,
2007-01-24,57,57,57,57,,,,
2007-01-25,45,45,45,45,,,,
2007-01-26,46,46,46,46,,55.55,,
2007-01-29,44,44,44,44,,54.449999999999996,,
2007-01-30,46,46,46,46,,53.64523809523809,,
2007-01-31,54,54,54,54,,53.67902494331066,,
2007-02-01,59,59,59,59,,54.18578447251917,,
2007-02-02,67,67,67,67,,55.40618595132686,,
2007-02-05,62,62,62,62,,56.03416824167668,,
2007-02-06,64,64,64,64,,56.79281888532652,,
2007-02-07,72,72,72,72,,58.24112184862875,,
2007-02-08,75,75,75,75,,59.83720548209268,,
2007-02-09,62,62,62,62,,60.043185912369566,,
2007-02-12,58,58,58,58,,59.84859677785818,,
2007-02-13,61,61,61,61,,59.95825422758597,,
2007-02-14,71,71,71,71,,61.00984906305397,,
2007-02-15,70,70,70,70,,61.86605391419169,,
2007-02-16,74,74,74,74,,63.02166782712581,,
2007-02-19,74,74,74,74,,64.06722327216144,,
2007-02-20,77,77,77,77,,65.29891629386036,,
2007-02-21,73,73,73,73,,66.03235283730223,,
2007-02-22,75,75,75,75,,66.88641447184487,,
2007-02-23,72,72,72,72,,67.37342261738345,,
2007-02-26,67,67,67,67,,67.33785855858503,,
2007-02-27,28,28,28,28,,63.591395838719784,,
2007-02-28,28,28,28,28,,60.201739092175046,,
2007-03-01,22,22,22,22,,56.563478226253615,,
2007-03-02,8,8,8,8,,51.93838506184851,,
