time,open,high,low,close,EMA,EMA,EMA,EMA,Volume,Volume MA
2007-01-23,0.645,0.827,0.587,0.691,,,,,,
2007-01-24,0.696,0.729,0.558,0.635,,,,,,
2007-01-25,0.622,0.845,0.565,0.825,,,,,,
2007-01-26,0.774,0.796,0.555,0.768,,,,,,
2007-01-29,0.65,1.023,0.568,0.684,,,,,,
2007-01-30,0.754,0.851,0.635,0.711,,,,,,
2007-01-31,0.593,0.674,0.467,0.646,,,,,,
2007-02-01,0.586,0.689,0.559,0.639,,,,,,
2007-02-02,0.533,0.834,0.482,0.828,,,,,,
2007-02-05,0.502,0.722,0.455,0.617,,,,,,
2007-02-06,0.504,0.615,0.468,0.6,,,,,,
2007-02-07,0.74,0.764,0.464,0.74,,,,,,
2007-02-08,0.518,0.79,0.518,0.649,,,,,,
2007-02-09,0.557,0.871,0.507,0.762,,,,,,
2007-02-12,0.662,1,0.612,0.867,,,,,,
2007-02-13,0.754,0.864,0.614,0.826,,,,,,
2007-02-14,0.707,0.846,0.538,0.814,,,,,,
2007-02-15,0.605,0.748,0.557,0.59,,,,,,
2007-02-16,0.881,0.981,0.563,0.6,,,,,,
2007-02-20,0.612,0.715,0.584,0.714,,0.7102999999999999,,,,
2007-02-21,0.807,0.893,0.71,0.785,,0.7174142857142857,,,,
2007-02-22,0.732,0.853,0.655,0.763,,0.7217557823129251,,,,
2007-02-23,0.733,0.885,0.651,0.829,,0.7319695173307418,,,,
2007-02-26,0.468,0.836,0.468,0.823,,0.7406390871087664,,,,
2007-02-27,0.788,1.669,0.788,1.487,,0.8117210788126934,,,,
2007-02-28,0.781,1.076,0.781,0.915,,0.8215571665448178,,,,
2007-03-01,1.276,1.276,0.971,1.021,,0.840551722111978,,,,
2007-03-02,0.902,1.133,0.718,1.094,,0.8646896533394087,,,,
2007-03-05,0.902,1.133,0.718,1.094,,0.8865287339737508,,,,
2007-03-06,0.902,1.133,0.718,1.094,,0.9062879021667268,,,,
2007-03-07,0.902,1.133,0.718,1.094,,0.9241652448175147,,,,
2007-03-08,0.902,1.133,0.718,1.094,,0.9403399834063229,,,,
2007-03-09,0.627,0.854,0.627,0.822,,0.9290695087961969,,,,
2007-03-12,0.627,0.854,0.627,0.75,,0.9120152698632258,,,,
2007-03-13,0.829,1.128,0.829,0.977,,0.9182042917810138,,,,
2007-03-14,0.72,0.963,0.679,0.867,,0.9133276925637744,,,,
2007-03-15,0.608,0.853,0.598,0.784,,0.9010107694624626,,,,
2007-03-16,0.653,0.841,0.587,0.827,,0.8939621247517519,,,,
2007-03-19,0.468,0.625,0.468,0.612,,0.8671085890611088,,,,
2007-03-20,0.624,0.836,0.565,0.716,,0.8527172948648127,,,,
2007-03-21,0.533,0.701,0.397,0.665,,0.8348394572586401,,,,
2007-03-22,0.454,0.673,0.454,0.614,,0.8138071279959125,,,,
2007-03-23,0.515,0.687,0.514,0.656,,0.7987778777105875,,,,
2007-03-26,0.618,0.816,0.556,0.692,,0.7886085560238649,,,,
2007-03-27,0.466,0.642,0.466,0.611,,0.7716934554501635,,,,
2007-03-28,0.747,0.892,0.621,0.88,,0.7820083644549098,,,,
2007-03-29,0.585,0.771,0.585,0.765,,0.7803885202211089,,,,
2007-03-30,0.528,0.752,0.495,0.663,,0.7692086611524319,,,,
2007-04-02,0.528,0.752,0.495,0.626,,0.7555697410426765,,,,
2007-04-03,0.611,0.662,0.547,0.662,,0.7466583371338502,0.78976,,,
2007-04-04,0.621,0.771,0.53,0.724,,0.7445004002639597,0.7871811764705883,,,
2007-04-05,0.738,0.8,0.479,0.537,,0.7247384573816779,0.7773701499423299,,,
2007-04-09,0.416,0.608,0.416,0.594,,0.71228717572628,0.7701791636700817,,,
2007-04-10,0.508,0.707,0.508,0.663,,0.7075931589904438,0.7659760592124314,,,
2007-04-11,1.012,1.012,0.451,0.683,,0.7052509533723064,0.7627220961060616,,,
2007-04-12,0.612,0.738,0.612,0.694,,0.7041794340035152,0.7600271119450396,,,
2007-04-13,0.608,0.669,0.513,0.655,,0.6994956783841328,0.7559084016726851,,,
2007-04-16,0.53,0.584,0.495,0.52,,0.6824008518713582,0.7466570918031681,,,
2007-04-17,0.506,0.672,0.494,0.671,,0.6813150564550384,0.7436901470265732,,,
2007-04-18,0.509,0.672,0.509,0.531,,0.6669993367926538,0.7353493569470998,,,
2007-04-19,0.53,0.681,0.482,0.622,,0.6627136856695439,0.7309042841256449,,,
2007-04-20,0.628,0.628,0.45,0.497,,0.6469314298914921,0.7217315671011097,,,
2007-04-23,0.469,0.577,0.447,0.576,,0.6401760556161119,0.71601660368538,,,
2007-04-24,0.688,0.723,0.544,0.723,,0.6480640503193393,0.7162904623643848,,,
2007-04-25,0.506,0.646,0.496,0.601,,0.6435817598127356,0.7117692677618599,,,
2007-04-26,0.562,0.706,0.533,0.596,,0.639050163640094,0.7072292964770811,,,
2007-04-27,0.562,0.706,0.533,0.571,,0.6325691956743708,0.7018869711250387,,,
2007-04-30,0.567,0.632,0.524,0.614,,0.6308007008482402,0.6984404232377823,,,
2007-05-01,0.567,0.73,0.4,0.724,,0.6396768245769793,0.6994427595813987,,,
2007-05-02,0.625,0.625,0.465,0.557,,0.6318028412839336,0.6938567690095792,,,
2007-05-03,0.2,0.884,0.2,0.641,,0.6326787611616542,0.6917839545386153,,,
2007-05-04,0.617,0.932,0.436,0.534,,0.6232807839081633,0.6855963484782774,,,
2007-05-07,0.397,0.563,0.383,0.452,,0.6069683282978621,0.6764357073614823,,,
